	cluster
MEP-Eryth-2__Pt-89_Dx	U1
LMPP-1-cycling__10DD-1061__Relapse	U1
MEP-Eryth-2__AML-19-R2	U1
MPP-1__10DD-1061__Relapse	U1
MEP-2__AML-19-R2	U1
MEP-1__AML-19-R2	U1
cDC2-1__4440_AfInv16_P24M	U1
pDC__10DD-1061__Relapse	U1
Erythroblast-3__P18__Relapse	U1
MEP-1__AML13	U1
MEP-Eryth-2__AML13	U1
MPP-1__AML13	U1
MPP-MEP__AML13	U1
Multilin-1__AML13	U1
Multilin-1__4440_AfInv16_P24M	U1
MEP-1__AML14	U1
MEP-2__4440_AfInv16_P24M	U1
LMPP-1-cycling__AML1540	U1
MEP-1__10DD-1062__Diagnosis	U1
MEP-1__AML1540	U1
MPP-MEP__AML1540	U1
Plasma Cell__Pt-89_Dx	U1
MultiLin-GMP-2__AML1540	U1
MultiLin-GMP-3__AML1540	U1
MEP-Eryth-2__AML-19-R1	U1
MEP-2__AML-19-R1	U1
MEP-1__AML-19-R1	U1
Multilin-1__AML1540	U1
LMPP-2__4440_AfInv16_P24M	U1
LMPP-1-cycling__P19__Diagnosis	U1
B Memory-1__4440_AfInv16_P24M	U1
NK-Mature__PT18__Diagnosis	U1
MEP-2__376_Af_N1c	U1
MEP-1__376_Af_N1c	U1
MPP-MEP__AML-19-Dx1	U1
MPP-2__10DD-1070__Treatment	U1
MPP-2__AML-19-Dx1	U1
MEP-1__AML-19-Dx1	U1
MEP-2__3410_AfST8_P64M	U1
BMCP-1__P22__Relapse	U1
Erythroblast-1__AML22-Decitabine	U1
Erythroblast-3__AML22-Decitabine	U1
MEP-2__AML-01	U1
MEP-1__AML22-Decitabine	U1
MEP-Eryth-1__AML22-Decitabine	U1
MEP-Eryth-1__AML-01	U1
Erythroblast-1__P22__Relapse	U1
Erythroblast-2__P22__Relapse	U1
MKP-early__AML22-Decitabine	U1
MPP-MEP__AML-01	U1
MKP-late__AML22-Decitabine	U1
MEP-2__P22__Relapse	U1
MEP-Eryth-2__P22__Relapse	U1
MultiLin-GMP-2__AML-01	U1
MultiLin-GMP-3__AML-01	U1
BMCP-1__AML2451	U1
Plasma Cell__AML-19-CR1	U1
MEP-2__NA-SRR16208931	U1
MEP-2__AML-19-CR1	U1
MEP-1__NA-SRR16208931	U1
MEP-Eryth-2__PT19__Relapse	U1
MEP-2__PT19__Relapse	U1
MEP-1__PT19__Relapse	U1
MPP-MEP__AML2123	U1
MPP-2__AML1	U1
MEP-Eryth-1__3410_AfST8_P64M	U1
MEP-Eryth-2__3410_AfST8_P64M	U1
MEP-1__P21__Diagnosis	U1
MEP-2__P21__Diagnosis	U1
MEP-Eryth-1__P21__Diagnosis	U1
MPP-MEP__AML1	U1
LMPP-1-cycling__376_Af_N1c	U1
MEP-Eryth-2__P21__Diagnosis	U1
MPP-MEP__Pt-20_Dx	U1
MEP-1__Pt-20_Dx	U1
Erythroblast-3__P21__Relapse	U1
LMPP-1-cycling__Pt-20_Dx	U1
CD4 TCM__376_Af_N1c	U1
MPP-2__10DD-1070__Diagnosis	U1
Pro-B-cycling-2__NA-SRR16208932	U1
Multilin-1__10DD-1070__Diagnosis	U1
Erythroblast-1__P22__Diagnosis	U1
Erythroblast-2__P22__Diagnosis	U1
Erythroblast-3__P22__Diagnosis	U1
MEP-Eryth-1__NA-SRR16208932	U1
MEP-2__NA-SRR16208932	U1
MEP-1__NA-SRR16208932	U1
LMPP-1__AML-01	U1
MPP-MEP__Pt-16_Dx	U1
MEP-2__Pt-16_Dx	U1
ERP-4__AML2123	U1
LMPP-1-cycling__AML-01	U1
