	cluster
MEP-2__P21__Diagnosis	U10
MEP-Eryth-2__P21__Diagnosis	U10
MPP-MEP__P21__Diagnosis	U10
Mono-1__P21__Diagnosis	U10
MultiLin-GMP-1__P21__Diagnosis	U10
MultiLin-GMP-2__P21__Diagnosis	U10
Multilin-1__P21__Diagnosis	U10
Myeloid intermediate 1__P21__Diagnosis	U10
MPP-MEP__AML5	U10
Myeloid intermediate 2__P21__Diagnosis	U10
Myeloid intermediate 3__P21__Diagnosis	U10
cDC1__P21__Diagnosis	U10
cDC2-2__P21__Diagnosis	U10
HSC-2__P23__Relapse	U10
MPP-1__AML3948	U10
MPP-2__P23__Relapse	U10
MEP-1__P24__Diagnosis	U10
MDP-1__P19__Relapse	U10
CD4 TCM__P19__Relapse	U10
Erythroblast-2__10DD-1010__Relapse	U10
Erythroblast-1__10DD-1010__Relapse	U10
ERP-8__10DD-1010__Relapse	U10
ERP-7__10DD-1010__Relapse	U10
ERP-5__10DD-1010__Relapse	U10
T CD8 Naive__P19__Diagnosis	U10
T CD4 Naive-2__P19__Diagnosis	U10
T CD4 Naive-1__P19__Diagnosis	U10
MEP-2__P19__Diagnosis	U10
Plasma Cell__AML4897	U10
MAIT__P19__Diagnosis	U10
T CD8 Naive__P18__Relapse	U10
T CD4 Naive-2__P18__Relapse	U10
T CD4 Naive-1__P18__Relapse	U10
MultiLin-GMP-1__P18__Relapse	U10
MultiLin-GMP-2__5381v2_AfInv16_P49M	U10
cMOP__AML3	U10
MPP-MEP__P18__Relapse	U10
MPP-1__P18__Relapse	U10
HSC-2__AML3	U10
HSC-1__AML3	U10
Plasma Cell__AML3948	U10
CD4 TCM__P19__Diagnosis	U10
MDP-2__P19__Relapse	U10
MEP-2__P19__Relapse	U10
CD8 TEM__PAUMTZ-Relapse	U10
NK-Mature__P24__Diagnosis	U10
T CD8 Naive__P24__Diagnosis	U10
cMOP__P24__Diagnosis	U10
pre-DC-2__P24__Diagnosis	U10
CD4 TCM__P24__Relapse	U10
CD8 TEM__P24__Relapse	U10
MEP-1__P24__Relapse	U10
MultiLin-GMP-2__P24__Relapse	U10
NK-Mature__P24__Relapse	U10
cMOP__P24__Relapse	U10
ERP-8__P25__Relapse	U10
ERP-7__P26__Diagnosis	U10
ERP-8__P26__Diagnosis	U10
Erythroblast-1__P26__Diagnosis	U10
Myeloid intermediate 3__P26__Diagnosis	U10
cMOP__P26__Diagnosis	U10
immNeu-1__P26__Diagnosis	U10
ERP-5__P26__Relapse	U10
ERP-7__P26__Relapse	U10
MPP-1__P26__Relapse	U10
Multilin-2__P26__Relapse	U10
LMPP-1-cycling__AML5	U10
BMCP-1__AML5	U10
MultiLin-GMP-2__P19__Relapse	U10
MPP-MEP__P19__Relapse	U10
CD4 TCM__P24__Diagnosis	U10
Myeloid intermediate 3__P19__Relapse	U10
CD4 TCM__P11__Diagnosis	U10
MPP-MEP__P10__Diagnosis	U10
Plasma Cell__P01__Relapse	U10
Pro-B-cycling-1__AML-21-CR	U10
T CD4 Naive-2__P01__Diagnosis	U10
T CD4 Naive-1__P01__Diagnosis	U10
MEP-Eryth-2__AML-21-CR	U10
MultiLin-GMP-3__P01__Diagnosis	U10
Erythroblast-1__AML-21-CR	U10
ERP-8__AML-21-CR	U10
ERP-1__AML-21-CR	U10
LMPP-1__P02__Diagnosis	U10
CLP__AML-21-CR	U10
MEP-2__P01__Diagnosis	U10
BMCP-1__P01__Diagnosis	U10
Erythroblast-3__AML-20-Dx	U10
Erythroblast-3__AML-20-CR	U10
B Memory-2__AML-19-Dx2	U10
Myeloid intermediate 3__AML5	U10
Erythroblast-1__AML9	U10
HSC-2__AML9	U10
Erythroblast-1__MDS585	U10
MultiLin-GMP-2__P01__Diagnosis	U10
LMPP-1-cycling__P02__Diagnosis	U10
MDP-2__P02__Diagnosis	U10
MEP-2__P02__Diagnosis	U10
ERP-3__AML0048	U10
Multilin-1__P03__Relapse	U10
MultiLin-GMP-3__P03__Relapse	U10
MAIT__AML003	U10
LMPP-1-cycling__P03__Relapse	U10
ERP-8__P03__Diagnosis	U10
LMPP-1__P02__Relapse	U10
ERP-8__P02__Relapse	U10
ERP-5__P02__Relapse	U10
preNeu__P02__Diagnosis	U10
cDC1__P02__Diagnosis	U10
Myeloid intermediate 3__P02__Diagnosis	U10
T CD4 Naive-2__AML-7_CCHMC	U10
MultiLin-GMP-1__AML051	U10
Myeloid intermediate 2__P02__Diagnosis	U10
Multilin-2__P02__Diagnosis	U10
Multilin-1__P02__Diagnosis	U10
MultiLin-GMP-3__P02__Diagnosis	U10
MultiLin-GMP-2__P02__Diagnosis	U10
Mono-1__P02__Diagnosis	U10
MPP-MEP__P02__Diagnosis	U10
T CD4 Naive-1__1009_AfInv16_29M	U10
