	cluster
cDC2-1__1060_EInv16_19M	U11
Mono-1__1060_EInv16_19M	U11
Non-Classical Mono-2__1076_AfInv16_51M	U11
Mono-2__1060_EInv16_19M	U11
cDC2-2__1060_EInv16_19M	U11
Non-Classical Mono-2__1060_EInv16_19M	U11
Intermediate Mono-1__hashtag4-SRR16208967	U11
Classical-Mono__1076_AfInv16_51M	U11
Non-Classical Mono-2__727_EInv16_35M	U11
Intermediate Mono-2__727_EInv16_35M	U11
Intermediate Mono-1__1076_AfInv16_51M	U11
Non-Classical Mono-2__754_EInv16_47M	U11
Intermediate Mono-3__0817_E_N1c	U11
Mono-1__0817_E_N1c	U11
Mono-2__0817_E_N1c	U11
Non-Classical Mono-2__0817_E_N1c	U11
cDC2-1__0817_E_N1c	U11
Classical-Mono__1009_AfInv16_29M	U11
Intermediate Mono-1__1009_AfInv16_29M	U11
Intermediate Mono-2__1009_AfInv16_29M	U11
Intermediate Mono-3__1009_AfInv16_29M	U11
Intermediate Mono-1__727_EInv16_35M	U11
MDP-2__1009_AfInv16_29M	U11
cDC2-2__754_EInv16_47M	U11
Mono-1__1009_AfInv16_29M	U11
Mono-2__1009_AfInv16_29M	U11
cDC2-1__562_AfInv16_25F	U11
Non-Classical Mono-2__1009_AfInv16_29M	U11
cDC2-1__1009_AfInv16_29M	U11
Non-Classical Mono-2__0018_Af_N1c	U11
cDC2-2__1009_AfInv16_29M	U11
Classical-Mono__568_AfInv16_P24M	U11
Intermediate Mono-1__568_AfInv16_P24M	U11
Intermediate Mono-2__568_AfInv16_P24M	U11
Non-Classical Mono-2__568_AfInv16_P24M	U11
Non-Classical Mono-2__596_E_N1c	U11
Intermediate Mono-2__0817_E_N1c	U11
Intermediate Mono-1__0817_E_N1c	U11
Classical-Mono__220882__Treatment	U12
Non-Classical Mono-2__10DD-1070__Diagnosis	U12
Intermediate Mono-2__220882__Treatment	U12
Intermediate Mono-3__220882__Treatment	U12
Intermediate Mono-1__220882__Treatment	U12
Classical-Mono__10DD-1065__Diagnosis	U12
Intermediate Mono-2__220882__Relapse	U12
cDC2-2__10DD-1070__Diagnosis	U12
pre-DC-3__10DD-1070__Diagnosis	U12
cDC2-2__220882__Relapse	U12
cDC2-1__220882__Relapse	U12
Intermediate Mono-2__10DD-1070__Treatment	U12
Non-Classical Mono-2__220882__Relapse	U12
Intermediate Mono-3__220882__Relapse	U12
Non-Classical Mono-2__220882__Treatment	U12
cDC2-1__10DD-1070__Diagnosis	U12
cDC2-1__220882__Treatment	U12
Classical-Mono__10DD-1062__Diagnosis	U12
cDC1__869586__Diagnosis	U12
Intermediate Mono-2__10DD-1061__Relapse	U12
Intermediate Mono-3__10DD-1061__Relapse	U12
Non-Classical Mono-2__10DD-1061__Relapse	U12
cDC2-1__10DD-1061__Relapse	U12
cDC2-2__10DD-1061__Relapse	U12
Intermediate Mono-1__220882__Relapse	U12
Intermediate Mono-1__10DD-1062__Diagnosis	U12
Intermediate Mono-3__10DD-1062__Diagnosis	U12
Mono-2__10DD-1062__Diagnosis	U12
Classical-Mono__10DD-1062__Treatment	U12
cDC2-2__220882__Treatment	U12
Intermediate Mono-1__10DD-1062__Treatment	U12
Non-Classical Mono-2__AML-19-R1	U12
Intermediate Mono-2__10DD-1065__Diagnosis	U12
Non-Classical Mono-2__10DD-1065__Diagnosis	U12
Non-Classical Mono-2__AML-19-Dx1	U12
Intermediate Mono-1__10DD-1070__Diagnosis	U12
Intermediate Mono-2__10DD-1070__Diagnosis	U12
Classical-Mono__869586__Diagnosis	U12
Intermediate Mono-3__869586__Diagnosis	U12
Mono-2__869586__Diagnosis	U12
Non-Classical Mono-2__869586__Diagnosis	U12
Intermediate Mono-2__AML-19-Dx2	U12
Classical-Mono__220882__Relapse	U12
cDC2-1__184874__Diagnosis	U12
Intermediate Mono-3__220882__Diagnosis	U12
Classical-Mono__184874__Diagnosis	U12
Non-Classical Mono-2__10DD-1085__Diagnosis	U12
cDC1__10DD-1085__Diagnosis	U12
Non-Classical Mono-2__508084__Relapse	U12
Intermediate Mono-1__10DD-1085__Relapse	U12
Intermediate Mono-2__10DD-1085__Relapse	U12
Non-Classical Mono-2__10DD-1085__Relapse	U12
Non-Classical Mono-2__869922__Diagnosis	U12
Non-Classical Mono-2__875663__Diagnosis	U12
Intermediate Mono-1__184874__Diagnosis	U12
Classical-Mono__922185__Diagnosis	U12
Intermediate Mono-1__922185__Diagnosis	U12
Non-Classical Mono-2__10DD-1086__Diagnosis	U12
Intermediate Mono-2__922185__Diagnosis	U12
Intermediate Mono-3__922185__Diagnosis	U12
Mono-2__922185__Diagnosis	U12
cDC2-2__508084__Relapse	U12
Non-Classical Mono-2__10DD-1086__Treatment	U12
Non-Classical Mono-2__922185__Diagnosis	U12
Non-Classical Mono-2__AML22-Decitabine	U12
