	cluster
Mono-2__220882__Treatment	U1
MAIT__220882__Treatment	U1
Intermediate Mono-3__220882__Treatment	U1
Intermediate Mono-2__220882__Treatment	U1
Intermediate Mono-1__220882__Treatment	U1
Classical-Mono__220882__Treatment	U1
CD8 TEM__220882__Treatment	U1
CD4 TCM__220882__Treatment	U1
B Memory-2__220882__Treatment	U1
pre-DC-3__220882__Relapse	U1
LMPP-1-cycling__P12__Diagnosis	U1
cDC2-2__220882__Relapse	U1
cDC2-1__220882__Relapse	U1
T CD8 Naive__220882__Relapse	U1
cMOP__P15__Diagnosis	U1
cDC2-1__220882__Diagnosis	U1
T CD8 Naive__220882__Diagnosis	U1
CD4 TCM__220882__Diagnosis	U1
BMCP-1__220882__Diagnosis	U1
B Memory-2__220882__Diagnosis	U1
B Memory-1__220882__Diagnosis	U1
Myeloid intermediate 2__AML9	U1
B Memory-2__P13__Diagnosis	U1
BMCP-1__P13__Diagnosis	U1
CD4 TCM__P13__Diagnosis	U1
CD8 TEM__P13__Diagnosis	U1
Classical-Mono__P13__Diagnosis	U1
MultiLin-GMP-1__AML9	U1
Mono-2__AML9	U1
Mono-1__AML9	U1
ERP-6__P13__Diagnosis	U1
LMPP-1-cycling__AML9	U1
Intermediate Mono-1__P13__Diagnosis	U1
Intermediate Mono-2__P13__Diagnosis	U1
Intermediate Mono-3__P13__Diagnosis	U1
LMPP-1__P13__Diagnosis	U1
LMPP-1-cycling__P13__Diagnosis	U1
LMPP-2__P13__Diagnosis	U1
MAIT__P13__Diagnosis	U1
MDP-1__P13__Diagnosis	U1
MDP-2__P13__Diagnosis	U1
MEP-1__P13__Diagnosis	U1
CD8 TEM__220882__Diagnosis	U1
cDC1__220882__Diagnosis	U1
Classical-Mono__220882__Diagnosis	U1
cDC2-2__AML9	U1
T CD4 Activated__P12__Diagnosis	U1
T CD4 Naive-1__P12__Diagnosis	U1
NK-Mature__220882__Diagnosis	U1
Myeloid intermediate 3__220882__Diagnosis	U1
Myeloid intermediate 2__220882__Diagnosis	U1
T CD8 Naive__P12__Diagnosis	U1
CD4 TCM__P12__Relapse	U1
CD8 TEM__P12__Relapse	U1
MultiLin-GMP-1__220882__Diagnosis	U1
Mono-2__220882__Diagnosis	U1
Mono-1__220882__Diagnosis	U1
LMPP-1-cycling__P12__Relapse	U1
MPP-MEP__P12__Relapse	U1
MultiLin-GMP-1__P12__Relapse	U1
MDP-6__220882__Diagnosis	U1
MDP-3__220882__Diagnosis	U1
MDP-2__220882__Diagnosis	U1
pre-DC-2__AML9	U1
NK-Mature__P12__Relapse	U1
Non-Classical Mono-1__P12__Relapse	U1
LMPP-1-cycling__220882__Diagnosis	U1
LMPP-1__220882__Diagnosis	U1
Intermediate Mono-3__220882__Diagnosis	U1
immNeu-2__P12__Relapse	U1
cMOP__AML9	U1
cDC1__AML9	U1
pDC__P15__Diagnosis	U1
pre-DC-1__P15__Diagnosis	U1
pre-DC-2__P15__Diagnosis	U1
CD4 TCM__10DD-1082__Treatment	U1
BMCP-1__10DD-1082__Treatment	U1
B Memory-2__10DD-1082__Treatment	U1
pre-DC-2__10DD-1079__Treatment	U1
cMOP__10DD-1079__Treatment	U1
Non-Classical Mono-2__10DD-1079__Treatment	U1
NK-Mature__10DD-1079__Treatment	U1
Myeloid intermediate 3__10DD-1079__Treatment	U1
Mono-2__10DD-1079__Treatment	U1
Mono-1__10DD-1079__Treatment	U1
Intermediate Mono-3__10DD-1079__Treatment	U1
Intermediate Mono-2__10DD-1079__Treatment	U1
cDC2-1__AML-19-Dx2	U1
Classical-Mono__10DD-1079__Treatment	U1
CD8 TEM__10DD-1079__Treatment	U1
pre-DC-2__P17__Diagnosis	U1
T CD4 Naive-1__10DD-1079__Relapse	U1
Non-Classical Mono-2__10DD-1079__Relapse	U1
NK-Mature__10DD-1079__Relapse	U1
Intermediate Mono-3__AML-19-R1	U1
preNeu__P17__Diagnosis	U1
Mono-2__10DD-1079__Relapse	U1
CD4 TCM__P17__Relapse	U1
MAIT__10DD-1079__Relapse	U1
Intermediate Mono-3__10DD-1079__Relapse	U1
CD8 TEM__10DD-1082__Treatment	U1
Intermediate Mono-2__10DD-1079__Relapse	U1
MEP-1__AML2	U1
T CD4 Naive-1__P17__Diagnosis	U1
T CD4 Naive-1__10DD-1085__Diagnosis	U1
Non-Classical Mono-2__10DD-1085__Diagnosis	U1
NK-Mature__10DD-1085__Diagnosis	U1
NK-Mature__PT02__D30	U1
NK-Mature__AML-19-Dx1	U1
pre-DC-3__AML-19-Dx1	U1
pre-DC-3__PT02__D30	U1
MDP-2__10DD-1085__Diagnosis	U1
Classical-Mono__AML-19-Dx2	U1
Intermediate Mono-3__AML-19-Dx2	U1
Intermediate Mono-3__10DD-1085__Diagnosis	U1
Intermediate Mono-2__10DD-1085__Diagnosis	U1
MPP-MEP__P17__Diagnosis	U1
cDC2-2__AML2	U1
CD8 TEM__10DD-1085__Diagnosis	U1
CD4 TCM__10DD-1085__Diagnosis	U1
BMCP-1__10DD-1085__Diagnosis	U1
Mono-1__P17__Diagnosis	U1
B Memory-1__10DD-1085__Diagnosis	U1
T CD8 Naive__10DD-1082__Treatment	U1
MKP-early__AML2	U1
MEP-2__AML2	U1
NK-Mature__10DD-1082__Treatment	U1
NK-Mature__P17__Diagnosis	U1
Non-Classical Mono-2__P17__Diagnosis	U1
NK-Mature__AML-19-Dx2	U1
T CD8 Naive__10DD-1085__Diagnosis	U1
CD8 TEM__P17__Relapse	U1
CD8 TEM__10DD-1079__Relapse	U1
Myeloid intermediate 2__10DD-1070__Treatment	U1
Myeloid intermediate 1__10DD-1070__Treatment	U1
Multilin-2__10DD-1070__Treatment	U1
Multilin-1__10DD-1070__Treatment	U1
MultiLin-GMP-3__10DD-1070__Treatment	U1
MultiLin-GMP-2__10DD-1070__Treatment	U1
Mono-2__10DD-1070__Treatment	U1
Mono-1__10DD-1070__Treatment	U1
MPP-MEP__10DD-1070__Treatment	U1
MEP-2__10DD-1070__Treatment	U1
MEP-1__10DD-1070__Treatment	U1
MDP-3__10DD-1070__Treatment	U1
MDP-2__10DD-1070__Treatment	U1
MAIT__10DD-1070__Treatment	U1
LMPP-2__10DD-1070__Treatment	U1
LMPP-1-cycling__10DD-1070__Treatment	U1
LMPP-1__10DD-1070__Treatment	U1
Intermediate Mono-3__10DD-1070__Treatment	U1
Intermediate Mono-2__10DD-1070__Treatment	U1
Intermediate Mono-1__10DD-1070__Treatment	U1
Classical-Mono__10DD-1070__Treatment	U1
CD8 TEM__10DD-1070__Treatment	U1
CD4 TCM__10DD-1070__Treatment	U1
BMCP-1__10DD-1070__Treatment	U1
B Memory-2__10DD-1070__Treatment	U1
Myeloid intermediate 3__10DD-1070__Treatment	U1
Classical-Mono__10DD-1079__Relapse	U1
NK-Mature__10DD-1070__Treatment	U1
MPP-MEP__PT02__Diagnosis	U1
CD4 TCM__10DD-1079__Relapse	U1
B Memory-2__10DD-1079__Relapse	U1
pre-DC-2__10DD-1079__Diagnosis	U1
LMPP-1__AML-19-R1	U1
NK-Mature__10DD-1079__Diagnosis	U1
Myeloid intermediate 3__10DD-1079__Diagnosis	U1
Myeloid intermediate 2__10DD-1079__Diagnosis	U1
LMPP-1-cycling__AML-19-R1	U1
MDP-2__AML-19-R1	U1
LMPP-1__PT02__Diagnosis	U1
Intermediate Mono-3__10DD-1079__Diagnosis	U1
Intermediate Mono-2__10DD-1079__Diagnosis	U1
MAIT__P17__Relapse	U1
MDP-2__PT02__Diagnosis	U1
CD8 TEM__10DD-1079__Diagnosis	U1
MEP-1__PT02__Diagnosis	U1
pre-DC-3__10DD-1070__Treatment	U1
pre-DC-2__10DD-1070__Treatment	U1
pre-DC-1__10DD-1070__Treatment	U1
pDC__10DD-1070__Treatment	U1
cMOP__10DD-1070__Treatment	U1
cDC2-2__10DD-1070__Treatment	U1
cDC2-1__10DD-1070__Treatment	U1
cDC1__10DD-1070__Treatment	U1
T CD8 Naive__10DD-1070__Treatment	U1
Non-Classical Mono-2__10DD-1070__Treatment	U1
preNeu__P11__Relapse	U1
Classical-Mono__AML-19-Dx1	U1
CD4 TCM__10DD-1085__Relapse	U1
LMPP-1__P16__Diagnosis	U1
LMPP-2__P16__Diagnosis	U1
MAIT__P16__Diagnosis	U1
MDP-2__P16__Diagnosis	U1
MPP-MEP__P16__Diagnosis	U1
Mono-1__P16__Diagnosis	U1
MultiLin-GMP-1__P16__Diagnosis	U1
Myeloid intermediate 1__P16__Diagnosis	U1
Myeloid intermediate 2__P16__Diagnosis	U1
Myeloid intermediate 3__P16__Diagnosis	U1
