SampleID	0	ASDC	B Memory-1	B Memory-2	BMCP-1	BMCP-2	CD4 TCM	CD8 TEM	CLP	Classical-Mono	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	HSC-1	HSC-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	LMPP-1	LMPP-1-cycling	LMPP-2	MAIT	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	MK-Platelet	MKP-early	MKP-late	MPP-1	MPP-2	MPP-MEP	MSC Fibroblast-1	MSC Fibroblast-2	Mac	Mono-1	Mono-2	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	Multilin-1	Multilin-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	NK-Mature	Non-Classical Mono-1	Non-Classical Mono-2	Osteoblast	Plasma Cell	Pro-B-1	Pro-B-2	Pro-B-3	Pro-B-Early	Pro-B-Early-cycling	Pro-B-cycling-1	Pro-B-cycling-2	Stromal Vascular	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	Transitional-B-1	Transitional-B-2	cDC1	cDC2-1	cDC2-2	cMOP	immNeu-1	immNeu-2	pDC	pre-B	pre-DC-1	pre-DC-2	pre-DC-3	preNeu
NYU-1:NA-SRR16208932	0	5	51	0	6	0	31	32	63	373	8	3	0	10	37	17	81	191	154	8	198	0	0	354	104	310	45	97	40	10	26	126	14	6	0	20	99	24	25	19	1	20	1	11	2	1378	2	0	1	74	273	594	228	51	164	26	82	39	30	51	4	135	3	8	39	5	58	22	37	26	81	0	11	24	0	9	25	2	20	50	108	78	79	4	123	199	30	12	12	495
NYU-1:PAUMTZ	0	0	272	6	23	0	20	10	2	1	1	0	0	0	0	0	4	1	6	4	21	1	0	41	10	76	1	3	4	9	1	4	1	1	1	0	5	4	3	4	0	0	0	1	0	101	0	0	0	111	40	1276	110	10	7	0	68	32	185	14	0	25	0	0	0	0	1	0	0	0	3	0	4	17	0	2	4	0	12	5	12	8	5	0	1	7	3	0	1	349
NYU-1:PAUMTZ-EoT	0	1	11	0	0	0	4	5	19	11	0	0	0	3	0	0	0	3	0	0	18	0	0	264	59	106	0	0	3	6	2	1	1	1	2	3	1	0	0	0	0	0	0	2	0	2	0	0	0	0	7	33	2	0	3	1	0	1	0	6	23	127	0	0	4	0	37	8	2	7	25	0	3	1	0	0	2	0	1	1	47	0	0	0	2	6	7	1	4	0
NYU-1:PAUMTZ-Relapse	0	3	811	44	3	0	26	16	2	28	0	0	0	0	1	1	3	3	1	3	24	0	0	74	52	73	1	9	2	22	0	0	3	1	1	4	2	0	1	1	0	0	0	2	0	11	0	0	0	1	12	21	13	4	7	3	0	1	2	60	1	46	6	0	8	1	16	0	7	21	35	0	1	22	0	9	31	0	6	15	20	0	0	0	11	150	2	0	7	4
NYU-1:PAWWEE	0	0	17	1	22	0	6	2	14	7	0	0	0	0	3	2	5	12	10	1	28	0	0	13	3	26	2	7	24	0	7	8	0	1	0	0	3	15	2	4	0	0	0	0	0	169	0	0	0	11	8	590	45	2	17	3	14	10	5	6	0	12	0	0	0	0	10	1	1	0	2	0	1	3	0	0	0	0	3	0	4	1	2	0	3	6	0	0	0	35
NYU-1:PAXMIJ	0	1	138	4	4	0	22	8	4	90	1	1	0	1	2	3	2	1	3	2	63	0	0	80	70	732	0	0	8	17	5	8	3	0	0	1	1	16	2	2	1	5	0	0	0	24	0	0	0	104	260	91	2	0	0	0	1	24	35	38	0	41	0	0	0	0	3	0	0	3	4	0	19	51	0	4	8	0	22	14	11	14	0	0	4	22	0	9	0	4
NYU-1:PAXMIJ-EoT	0	7	4	0	0	0	65	29	9	68	4	0	0	1	7	1	2	3	3	0	17	0	0	1049	242	143	0	0	5	52	3	0	2	0	2	2	1	4	1	1	1	5	0	0	0	0	0	0	0	4	29	24	3	0	4	2	1	3	3	26	3	726	1	3	4	0	10	2	3	6	7	0	12	28	0	11	1	1	1	11	74	11	1	0	22	5	1	2	2	6
NYU-1:PAXMIJ-Relapse	0	1	273	5	9	0	21	21	4	6	0	0	0	1	3	0	4	4	1	2	45	1	0	22	20	242	0	3	8	25	46	15	2	0	0	0	5	9	2	4	0	0	0	0	0	51	0	0	0	222	241	363	2	0	1	0	0	151	139	31	2	19	2	2	2	0	5	1	0	3	3	0	9	23	0	7	2	0	129	6	10	12	1	0	3	18	1	23	3	8
NYU-1:PR-TotalSeqA	0	0	447	47	6	0	26	181	0	1142	4	3	4	6	10	3	5	11	3	5	119	0	0	6053	962	846	15	22	11	36	2	9	4	2	0	3	6	44	20	15	0	5	0	0	0	34	0	0	0	4	127	84	12	1	2	1	1	8	10	334	1	152	2	8	0	0	0	0	0	0	0	0	3	13	0	2	0	0	7	20	25	2	0	0	21	0	2	1	0	2
NYU-1:R1-TotalSeqA	0	8	2209	262	5	0	208	1033	12	436	2	12	7	4	11	15	32	30	15	8	772	0	0	1545	224	245	9	53	36	216	25	13	20	2	1	9	14	40	12	10	0	9	0	47	11	95	3	0	1	0	41	47	2	6	14	5	0	2	0	1356	23	425	3	27	0	0	3	2	1	0	1	0	9	32	1	1	2	0	8	50	46	0	0	0	76	10	21	18	12	0
NYU-1:R2-TotalSeqA	0	12	123	19	1	0	184	661	0	53	0	1	2	1	2	4	5	6	45	15	100	0	0	115	94	192	515	1815	1739	231	190	475	2	0	0	0	21	189	9	63	1	16	2	36	32	2021	0	0	0	3	5	731	89	37	133	280	2	3	1	463	0	38	0	1	1	0	0	1	0	0	0	0	209	46	1	2	0	0	40	9	1	0	0	0	2	2	0	3	7	8
NYU-1:TALL3783	0	0	25	0	0	0	165	62	152	31	0	0	0	1	0	0	4	5	4	0	24	0	0	30	32	39	0	2	95	410	358	0	0	0	0	0	3	1	0	2	0	0	0	0	0	4	1	0	0	0	3	8	0	0	6	0	0	1	0	130	0	56	1	4	3	0	48	1	9	49	8	0	48	137	0	17	0	14	0	0	3	0	0	0	2	6	1	1	0	0
NYU-1:TALL3862	0	5	148	5	1	0	132	133	90	302	4	5	0	3	2	3	6	13	7	1	233	0	6	474	197	109	0	3	41	53	54	2	7	0	0	2	0	1	8	15	0	0	0	11	0	10	1	0	0	3	26	9	1	1	0	0	0	1	0	83	0	330	0	4	1	0	37	0	7	10	13	0	40	165	2	13	1	0	1	26	43	1	0	0	46	2	10	5	16	1
NYU-1:TALL4954	0	0	69	0	9	0	80	53	1585	3	0	1	0	0	5	2	2	15	15	1	38	1	0	37	13	100	57	283	617	43	544	36	1	1	0	2	94	57	32	27	0	1	0	2	2	1901	3	0	0	14	2	3812	645	90	635	13	12	14	27	99	2	38	1	5	398	0	241	28	132	333	119	0	25	61	0	9	9	0	17	8	13	3	3	0	10	59	2	5	3	166
NYU-1:empty	0	5	858	70	9	0	308	681	123	451	14	11	1	6	10	12	29	59	70	15	163	0	0	1634	250	522	16	36	53	204	73	43	6	7	1	6	12	30	8	12	1	3	1	26	1	179	1	0	0	30	157	218	33	7	51	10	13	16	8	755	30	413	2	31	36	3	40	9	7	24	28	0	178	356	7	90	25	0	52	46	94	27	12	0	116	95	7	9	20	22
NYU-1:hashtag2-SRR16208949	0	0	87	62	1	0	41	105	0	122	2	9	2	5	5	6	20	27	13	1	60	0	0	334	75	60	1	3	1	16	1	2	0	0	0	0	2	6	3	3	0	3	0	4	0	9	0	0	1	3	8	2	0	0	1	1	0	1	0	252	84	37	4	18	0	0	1	0	0	0	0	0	1	27	0	3	3	0	0	11	16	3	0	1	9	8	1	1	1	0
NYU-1:hashtag2-SRR16208950	0	0	86	56	0	0	40	112	0	141	2	14	2	3	1	8	18	23	18	2	58	1	0	316	84	73	0	2	1	14	1	1	0	0	0	1	1	1	4	1	0	3	2	6	0	10	0	0	1	0	12	1	0	1	0	0	1	1	0	234	72	37	7	19	0	0	1	0	0	0	0	0	1	16	1	5	0	0	1	11	8	0	1	0	13	3	0	1	0	2
NYU-1:hashtag2-SRR16208957	0	4	575	2	0	0	177	388	1	28	6	6	0	2	6	0	16	23	4	1	58	0	0	205	17	26	1	7	3	163	2	0	2	0	0	3	33	6	5	2	3	1	0	3	0	44	1	0	0	0	15	26	0	1	15	0	1	0	5	238	0	36	0	14	2	0	1	0	0	4	1	2	90	84	0	5	0	0	1	3	38	3	3	0	18	0	2	3	1	3
NYU-1:hashtag2-SRR16208958	0	0	102	9	1	0	13	15	6	4	2	1	0	0	1	2	1	6	15	0	1	0	0	9	2	140	0	6	274	7	35	1	1	0	0	0	3	4	1	8	0	0	0	6	0	50	0	0	0	0	4	29	1	0	13	8	0	0	0	21	0	1	2	7	0	0	1	0	0	0	0	0	0	44	0	10	0	0	4	2	2	1	0	0	34	0	0	0	1	0
NYU-1:hashtag2-SRR16208964	0	0	136	16	0	0	25	30	6	18	2	0	0	0	1	1	3	5	8	0	2	1	0	19	4	17	0	11	636	6	33	5	2	0	1	0	3	3	3	3	0	0	0	3	0	59	0	0	0	0	2	26	2	0	16	6	0	1	1	39	0	4	3	13	1	0	2	0	0	0	0	0	0	74	0	18	0	0	3	7	1	0	0	0	36	1	1	1	2	1
NYU-1:hashtag2-SRR16208965	0	0	7	0	25	0	1	16	0	0	20	8	0	2	1	0	2	13	1	0	1	1	1	8	1	7	2	19	267	10	22	1	0	0	0	0	102	627	6	30	0	20	5	0	0	330	0	0	0	1	0	717	2	0	79	4	1	0	2	15	0	61	0	26	0	0	1	0	0	0	0	0	4	4	0	1	0	0	1	2	3	2	0	0	2	1	0	2	0	0
NYU-1:hashtag2-SRR16208966	0	0	5	1	14	0	10	19	0	0	39	10	0	3	8	2	5	10	1	0	0	0	0	21	2	11	0	29	272	7	26	2	0	0	0	0	102	608	7	22	0	32	9	0	0	302	0	1	0	2	1	805	0	0	111	3	2	0	1	14	0	54	0	27	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	1	4	0	0	1	2	0	0	0	1	1
NYU-1:hashtag2-SRR16208967	0	0	5	0	8	1	7	20	0	0	26	12	0	3	2	0	3	3	2	0	1	0	0	24	0	10	0	34	247	6	21	1	0	0	0	0	115	607	4	21	0	17	5	1	0	316	0	1	0	0	2	712	0	0	84	3	1	0	0	10	0	38	0	27	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	5	3	0	0	1	3	0	0	0	0	0
NYU-1:hashtag3-SRR16208949	0	0	79	2	0	0	39	148	0	6	3	2	0	0	1	2	5	18	28	2	61	0	3	18	0	14	0	1	1	35	0	0	1	0	1	0	0	2	2	3	0	0	0	3	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	79	29	4	0	1	0	0	0	0	0	0	0	0	61	25	0	1	1	0	1	1	8	0	0	0	6	0	0	1	0	2
NYU-1:hashtag3-SRR16208950	0	0	68	2	0	0	25	130	0	8	2	1	0	2	1	1	7	20	20	7	75	0	5	21	1	14	0	2	2	29	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	9	0	0	0	0	0	4	0	0	0	0	3	0	0	87	20	8	0	0	0	0	0	0	0	0	0	0	53	30	0	0	0	0	1	0	5	0	0	0	8	1	0	0	0	0
NYU-1:hashtag3-SRR16208957	0	0	616	49	0	0	368	1477	0	3	0	0	0	0	4	0	3	4	2	0	29	0	0	21	3	8	0	0	0	153	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	13	0	0	2	0	0	5	0	0	1	0	0	0	0	821	0	8	0	8	0	0	0	0	0	7	0	0	527	520	0	8	0	0	0	1	2	0	0	0	1	0	0	0	0	2
NYU-1:hashtag3-SRR16208959	0	0	435	227	27	0	18	51	0	0	9	4	1	0	1	0	0	1	2	2	46	0	0	0	0	2	0	4	26	46	32	25	0	0	1	1	4	53	1	13	0	0	0	7	0	108	0	0	0	0	1	64	0	0	1	1	0	0	0	337	0	4	0	13	0	0	1	0	0	0	1	0	0	158	98	165	0	0	39	2	0	0	0	0	2	4	1	1	8	0
NYU-1:hashtag3-SRR16208965	0	0	269	5	1	2	158	897	1	1	11	2	0	4	2	5	8	37	22	0	1	2	6	11	0	3	0	2	4	308	2	0	0	0	0	0	4	24	1	2	0	3	0	9	0	79	0	0	0	0	0	180	1	0	4	0	9	0	1	636	0	1	1	2	0	0	0	0	0	1	0	0	239	31	0	7	0	0	0	1	2	0	0	2	0	0	0	0	0	18
NYU-1:hashtag3-SRR16208966	0	0	296	4	0	1	176	939	0	0	7	2	0	2	3	9	6	50	14	1	4	0	6	9	0	0	0	5	7	345	1	0	0	0	0	0	2	32	1	3	0	1	0	4	0	62	0	0	0	0	0	185	1	0	2	0	9	0	2	648	0	3	0	1	0	0	0	0	0	0	0	0	232	42	0	5	0	0	0	0	4	0	2	0	0	0	0	0	1	19
NYU-1:hashtag3-SRR16208967	0	0	278	4	1	0	195	978	0	0	8	2	0	4	3	8	8	30	11	0	1	1	7	13	2	2	0	3	10	325	2	0	0	0	0	0	4	33	6	0	0	2	0	7	0	61	0	0	0	0	0	169	1	0	1	2	10	0	3	580	0	3	0	3	0	0	0	0	0	0	0	0	258	38	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	15
NYU-1:hashtag4-SRR16208949	0	1	152	12	0	0	72	135	0	37	5	5	0	3	7	2	17	20	15	2	43	0	2	460	31	64	1	1	2	26	2	1	0	1	0	3	0	1	2	1	0	2	1	5	0	5	1	0	0	1	6	24	1	0	1	1	0	1	2	38	93	21	0	37	0	0	0	0	0	0	0	0	24	29	0	2	0	0	0	4	21	2	0	0	7	0	0	0	1	9
NYU-1:hashtag4-SRR16208950	0	0	162	16	0	0	73	112	1	39	5	5	0	0	11	6	5	16	23	0	42	0	3	450	22	67	1	2	3	29	2	0	1	0	0	1	5	6	2	2	1	2	0	6	0	9	5	0	0	2	7	22	4	1	0	1	1	1	0	44	99	15	0	37	0	0	0	0	0	0	0	4	18	25	0	3	0	0	1	7	23	3	0	0	13	2	0	0	0	13
NYU-1:hashtag4-SRR16208958	0	0	77	59	0	0	11	11	7	17	0	1	0	0	2	3	0	2	0	0	0	0	0	29	7	295	0	6	204	4	48	4	0	0	0	0	4	0	0	5	0	0	0	0	0	22	0	0	0	2	31	49	0	0	4	2	1	20	5	43	0	12	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	21	7	1	2	0	0	2	2	0	1	0	0
NYU-1:hashtag4-SRR16208964	0	0	74	35	0	0	11	14	1	22	0	0	0	1	0	0	0	3	2	0	0	0	0	26	9	42	0	3	243	5	15	4	0	0	1	1	4	0	1	1	0	0	0	0	0	13	0	0	0	1	12	17	1	0	10	3	0	0	0	34	0	15	0	1	0	0	2	0	1	0	0	0	0	12	0	1	0	0	1	1	0	0	0	0	3	2	1	0	0	0
NYU-1:hashtag4-SRR16208965	0	0	37	0	1	0	13	53	0	0	7	1	0	2	3	5	11	10	7	0	3	19	5	24	1	16	0	5	51	10	19	0	0	0	0	0	6	30	0	5	0	0	0	2	0	171	0	0	0	0	0	2828	1	0	2	0	4	1	5	35	1	9	0	1	0	0	3	0	1	1	1	0	32	5	0	0	1	1	0	2	7	1	0	0	2	2	0	0	0	7
NYU-1:hashtag4-SRR16208966	0	0	38	1	3	0	18	72	0	0	3	3	0	5	5	5	10	21	6	0	4	10	1	23	0	9	1	7	56	9	12	0	0	0	0	0	2	26	1	5	0	0	0	2	0	169	0	0	0	4	3	3028	2	0	0	0	8	3	4	39	0	4	0	2	0	0	2	0	1	0	2	0	23	4	0	0	1	0	2	2	14	0	0	0	1	3	0	0	2	12
NYU-1:hashtag4-SRR16208967	0	0	31	0	2	0	21	64	0	0	6	2	0	1	5	5	10	19	3	0	3	19	3	19	0	12	0	4	32	11	10	0	0	0	0	0	3	26	1	6	0	0	0	0	0	145	0	0	0	1	1	2881	0	0	2	0	1	0	2	37	0	3	0	0	0	0	0	0	0	0	1	0	25	4	0	0	0	0	0	1	15	0	0	0	4	2	0	0	0	7
NYU-1:hashtag5-SRR16208965	0	0	55	0	1	0	44	181	0	1	2	0	0	0	2	4	11	30	10	0	7	1	6	31	0	11	13	167	55	26	12	2	2	0	0	0	4	15	1	5	0	2	0	9	2	712	0	0	0	3	6	1789	24	13	32	2	18	10	29	67	0	5	0	15	0	0	0	0	0	0	0	0	34	20	0	0	0	0	4	5	6	1	0	1	4	0	0	10	0	84
NYU-1:hashtag5-SRR16208966	0	2	48	1	0	0	40	158	1	2	0	1	0	2	6	3	17	29	10	0	2	2	2	22	1	24	12	192	72	36	6	0	1	0	0	0	7	16	3	3	0	1	0	13	1	757	0	0	0	2	5	1869	24	8	33	2	21	14	29	52	0	4	0	14	0	0	0	0	0	0	0	0	28	18	0	2	0	0	3	2	8	0	2	0	0	0	0	5	0	72
NYU-1:hashtag5-SRR16208967	0	0	42	1	1	0	41	146	0	3	1	0	0	2	1	3	5	13	4	1	2	1	3	19	0	12	8	197	62	30	3	2	1	0	0	1	6	20	1	3	0	2	0	19	0	714	0	0	0	3	4	1727	16	5	30	0	16	12	17	73	0	4	0	6	0	0	0	0	0	0	0	0	34	13	0	0	0	0	3	5	3	2	0	0	5	0	0	4	0	34
NYU-1:hashtag6-SRR16208965	0	0	64	0	0	0	41	54	2	0	5	1	0	0	2	3	4	13	4	0	3	2	2	6	0	12	0	4	412	23	116	1	0	0	0	0	2	22	1	6	0	0	0	4	0	603	0	0	0	2	2	3158	0	0	2	0	13	2	14	79	0	1	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	1	4	0	2	0	1	0	1	0	0	14
NYU-1:hashtag6-SRR16208966	0	0	51	0	3	0	36	53	0	0	5	1	0	1	0	0	3	7	4	0	5	3	0	6	0	10	2	4	437	23	136	0	0	0	0	0	2	24	2	0	0	0	0	0	0	595	1	0	0	3	1	3153	0	0	4	0	13	1	4	69	0	2	0	0	0	0	0	0	0	0	0	0	22	29	0	0	0	0	0	2	4	0	0	0	0	0	0	0	1	12
NYU-1:hashtag6-SRR16208967	0	0	66	0	2	0	48	67	0	0	3	2	0	1	0	1	5	8	4	0	3	1	2	4	0	18	0	3	367	41	82	0	0	0	0	0	2	21	1	4	0	1	0	2	0	484	0	0	0	1	0	3234	0	0	2	0	13	1	17	53	0	4	0	0	0	0	0	0	0	0	0	0	24	24	0	1	0	0	0	2	3	1	0	0	2	0	0	0	0	9
NYU-1:hashtag7-SRR16208965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU-1:hashtag7-SRR16208966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU-1:hashtag7-SRR16208967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NYU-2:AML-09	0	0	1144	97	1	0	825	1426	0	278	1	0	0	0	2	1	1	6	14	0	20	0	0	5328	1030	152	1	3	5	665	5	0	0	0	0	0	3	6	6	2	2	0	0	15	0	84	0	0	0	0	2	67	0	0	0	0	0	2	1	5231	0	2003	0	1	0	0	0	0	0	0	0	0	36	399	0	15	0	0	0	8	24	1	0	0	2	0	1	1	0	2
NYU-2:AML-11	0	2	107	49	370	4	439	1876	0	218	19	8	3	14	67	26	19	107	79	8	37	0	0	1525	356	451	59	73	7	368	6	4	2	0	1	4	273	122	68	50	0	0	0	5	2	5064	1	0	0	42	219	2253	46	26	165	0	160	17	78	2950	2	58	0	42	0	0	0	0	0	2	0	0	19	807	1	30	0	0	19	108	710	25	13	6	14	0	16	10	14	160
NYU-2:AML-16-Dx	0	0	28	27	108	0	365	127	0	511	1	2	0	3	3	1	6	11	15	12	69	0	0	316	3	495	4	50	29	38	8	7	0	0	0	1	20	100	3	6	7	5	5	0	0	390	0	0	0	19	168	105	26	5	15	1	42	15	42	55	40	32	0	8	0	0	0	0	0	2	0	0	78	33	0	1	0	0	3	0	2	48	1	3	0	0	0	12	0	15
NYU-2:AML-17-CR1	0	0	567	165	7	0	929	4864	0	3	2	0	0	0	0	0	0	0	0	0	11	0	1	21	38	5	18	21	16	387	7	1	0	0	0	0	0	53	0	0	114	6	2	3	3	62	0	0	0	0	0	2	0	0	2	23	0	0	1	1054	0	90	0	0	0	0	0	0	0	0	0	0	50	115	2	24	0	0	0	1	5	0	0	0	0	0	0	1	1	0
NYU-2:AML-17-CR2	0	0	505	173	12	0	951	4693	0	5	0	0	0	0	0	0	0	0	1	0	9	0	0	28	48	34	13	15	10	309	7	8	0	0	0	0	1	44	0	1	152	9	4	2	1	68	0	0	0	0	0	4	1	0	2	36	0	2	0	1072	0	80	0	0	0	0	0	0	0	0	0	0	26	152	6	25	0	0	5	1	5	0	0	0	0	0	0	0	0	0
NYU-2:AML-17-D1	0	0	237	3	4	0	135	975	44	0	2	0	0	0	0	0	0	0	0	0	6	16	43	2	0	5	66	433	391	193	320	2	0	0	0	0	3	53	0	2	0	0	0	413	183	2296	0	0	0	1	2	1312	13	1	0	3	6	0	3	90	0	4	0	0	1	0	11	0	0	0	0	2	45	11	0	3	0	0	0	0	3	0	0	0	0	0	0	0	1	11
NYU-2:AML-17-D2	0	0	250	7	5	0	169	992	45	0	2	0	0	0	1	0	0	0	2	1	6	17	44	3	0	1	52	460	387	205	326	2	0	0	0	0	1	72	0	1	0	0	0	436	215	2525	0	0	0	1	0	1370	11	0	5	3	5	1	3	100	0	6	0	0	0	0	23	0	0	0	0	0	43	12	0	1	0	1	0	0	6	1	0	0	0	1	0	0	0	9
NYU-2:AML-17-R1	0	0	178	144	41	1	271	3023	1	2	0	0	0	1	0	1	0	0	3	1	1	1	2	7	12	12	82	350	29	359	34	12	0	0	0	0	17	990	1	4	5	57	41	40	22	1052	0	0	0	0	0	19	22	7	6	28	0	1	0	1601	4	42	0	3	0	0	0	0	0	0	0	0	3	69	8	21	0	0	2	2	0	0	0	0	0	0	0	0	1	0
NYU-2:AML-17-R2	0	0	212	168	72	0	325	3880	0	2	0	0	0	0	0	0	0	0	1	0	8	1	4	8	9	11	99	425	58	416	40	17	0	0	0	0	14	1210	0	1	3	78	41	38	52	1345	0	0	0	0	0	11	40	7	10	32	0	7	0	2034	5	51	0	1	0	0	0	0	0	0	0	0	1	76	8	29	0	0	3	2	6	0	0	0	0	0	1	0	0	0
NYU-2:AML-19-CR1	0	10	97	346	0	0	548	887	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	3346	1127	173	4	4	4	643	0	0	0	0	0	0	3	10	0	0	6	4	0	0	0	32	0	0	0	0	0	0	0	0	7	0	0	0	0	3029	0	1505	0	10	0	0	0	0	0	0	0	0	1	182	27	32	0	0	0	112	119	0	0	0	44	0	0	0	4	0
NYU-2:AML-19-CR2	0	6	15	75	0	0	167	194	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	894	254	40	0	0	0	138	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	12	0	0	0	0	0	0	0	0	1	0	0	0	0	764	0	384	0	0	0	0	0	0	0	2	0	0	1	34	11	7	0	0	0	17	40	0	0	0	2	0	0	0	4	0
NYU-2:AML-19-Dx1	0	0	24	105	0	0	21	93	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	451	2789	220	366	711	224	61	2	132	0	0	0	0	16	34	0	0	0	0	2	4	13	1003	0	0	0	9	48	425	432	67	68	232	41	90	120	390	0	1774	0	8	0	0	0	0	0	0	0	0	0	13	0	4	0	0	43	38	4	12	5	0	0	0	1	10	11	319
NYU-2:AML-19-Dx2	0	0	29	88	0	0	15	63	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	319	2068	130	212	482	152	45	1	108	0	0	0	0	14	10	0	2	0	2	0	5	9	715	0	0	0	12	29	217	276	36	71	152	35	61	75	319	0	1265	0	2	0	0	0	0	0	0	0	0	0	12	0	3	0	0	17	20	2	4	3	0	0	0	4	7	10	194
NYU-2:AML-19-R1	0	0	71	261	3	0	83	237	0	4	17	4	0	2	0	3	0	0	2	0	0	1	5	8	27	10	62	1434	239	171	7	114	2	0	0	0	412	1365	0	52	5	380	83	52	26	4118	0	0	0	0	5	834	237	97	296	30	2	28	8	1003	0	412	0	0	0	0	0	0	0	0	0	0	0	49	9	11	0	0	12	9	0	0	2	0	36	0	0	5	6	55
NYU-2:AML-19-R2	0	0	62	336	5	0	112	208	0	12	8	2	3	5	1	6	0	0	2	0	0	0	11	15	33	11	96	1590	191	150	5	125	1	0	0	0	321	1362	0	50	2	338	106	63	14	3645	0	0	0	0	2	644	242	118	309	49	13	43	12	949	0	374	0	0	0	0	0	1	0	0	0	0	0	38	12	9	0	0	8	5	0	1	4	0	22	0	0	0	0	55
NYU-2:AML-20-CR	0	17	2	7	4	0	493	385	1	79	8	10	65	4	23	39	64	57	10	6	272	1	210	150	147	26	65	5	4	64	6	4	3	4	6	3	18	58	8	26	4	32	11	35	175	37	0	1	3	0	7	13	31	9	5	2	2	5	0	468	0	132	0	103	0	0	0	0	0	0	0	1	3	0	9	9	0	0	1	14	36	4	8	0	207	0	1	5	5	7
NYU-2:AML-20-Dx	0	5	8	9	1	0	19	3	455	15	8	11	16	4	7	39	14	51	29	12	147	70	34	9	0	11	345	8	267	8	814	119	23	9	15	40	3	16	4	10	0	7	0	6	9	32	0	0	1	3	8	194	189	37	172	971	0	0	0	18	0	0	0	10	0	0	2	10	12	3	2	0	6	0	4	2	0	6	0	1	17	0	0	0	133	2	0	5	4	1
NYU-2:AML-20-R1	0	3	25	18	0	0	46	12	21	0	1	0	0	0	1	0	0	0	1	1	28	1	0	1	0	0	15	3	21	7	123	23	3	3	3	2	3	0	2	5	0	0	0	0	0	10	0	0	0	1	0	52	7	5	39	40	0	2	0	11	0	1	0	5	0	0	1	0	0	2	0	0	0	0	0	0	1	4	1	0	5	0	1	0	13	1	0	1	2	0
NYU-2:AML-21-CR	0	24	10	2	5	0	204	736	21	160	46	35	3	35	24	83	154	141	36	4	256	3	62	1292	167	165	9	14	6	304	2	5	2	0	1	0	2	35	8	18	2	9	4	4	14	34	0	0	0	25	104	12	20	1	3	0	5	5	6	342	0	157	0	94	22	0	14	16	8	17	16	0	20	39	5	15	21	5	2	59	501	3	3	0	158	16	8	4	26	20
NYU-2:AML-21-Dx	0	0	711	99	0	0	132	246	0	665	0	0	0	0	0	0	0	0	0	0	0	0	1	4160	1318	1391	0	0	0	119	1	1	0	0	0	0	0	2	0	0	1	2	0	1	0	2	0	1	0	29	635	69	1	0	0	0	0	0	0	83	0	1355	0	0	0	0	0	0	0	0	0	0	9	8	2	3	0	0	6	19	33	0	0	0	0	0	0	2	7	0
NYU-2:AML-21-R1	0	0	55	4	0	0	3	36	0	0	0	1	0	1	1	0	1	0	0	0	3	461	0	4	0	1	21	134	234	3	21	177	0	0	0	0	0	5	0	2	0	0	0	1	0	108	0	0	0	0	0	6472	197	59	23	19	2	7	1	6	0	6	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	120
