SampleID	0	ASDC	B Memory-1	B Memory-2	BMCP-1	BMCP-2	CD4 TCM	CD8 TEM	CLP	Classical-Mono	ERP-1	ERP-2	ERP-3	ERP-4	ERP-5	ERP-6	ERP-7	ERP-8	Erythroblast-1	Erythroblast-2	Erythroblast-3	HSC-1	HSC-2	Intermediate Mono-1	Intermediate Mono-2	Intermediate Mono-3	LMPP-1	LMPP-1-cycling	LMPP-2	MAIT	MDP-1	MDP-2	MDP-3	MDP-4	MDP-5	MDP-6	MEP-1	MEP-2	MEP-Eryth-1	MEP-Eryth-2	MK-Platelet	MKP-early	MKP-late	MPP-1	MPP-2	MPP-MEP	MSC Fibroblast-1	MSC Fibroblast-2	Mac	Mono-1	Mono-2	MultiLin-GMP-1	MultiLin-GMP-2	MultiLin-GMP-3	Multilin-1	Multilin-2	Myeloid intermediate 1	Myeloid intermediate 2	Myeloid intermediate 3	NK-Mature	Non-Classical Mono-1	Non-Classical Mono-2	Osteoblast	Plasma Cell	Pro-B-1	Pro-B-2	Pro-B-3	Pro-B-Early	Pro-B-Early-cycling	Pro-B-cycling-1	Pro-B-cycling-2	Stromal Vascular	T CD4 Activated	T CD4 Naive-1	T CD4 Naive-2	T CD8 Naive	Transitional-B-1	Transitional-B-2	cDC1	cDC2-1	cDC2-2	cMOP	immNeu-1	immNeu-2	pDC	pre-B	pre-DC-1	pre-DC-2	pre-DC-3	preNeu
NYU-1:AML0656	0	0	73	4	1	0	121	218	0	1	0	1	0	1	1	2	2	7	1	0	12	2	6	15	1	64	0	7	18	227	6	1	0	0	0	0	1	8	0	2	0	0	0	40	0	83	0	0	0	1	2	20	0	0	0	1	0	1	0	1000	0	13	0	0	0	0	2	0	0	1	1	0	38	46	0	1	0	0	1	0	2	1	0	0	2	2	0	1	0	1
NYU-1:AML0693	0	0	1735	10	10	0	213	410	2	23	20	9	0	9	50	10	35	226	169	10	917	38	111	285	6	132	0	12	5	85	30	8	2	0	0	0	24	33	68	66	0	18	2	194	1	249	26	3	1	87	79	2557	3	0	5	0	44	162	202	43	70	84	17	326	0	0	0	0	0	0	0	10	65	182	0	5	0	1	17	8	4	20	19	10	25	0	1	8	0	192
NYU-1:AML073	0	0	2266	208	2	0	174	305	16	441	3	2	0	4	2	2	3	11	62	19	455	0	0	672	352	393	3	78	2083	330	101	33	2	0	0	1	4	32	5	23	2	0	0	0	0	297	3	0	0	15	8	256	10	1	126	404	2	8	2	357	0	10	0	3	0	0	1	0	0	0	1	2	26	107	2	38	1	1	3	1	4	0	0	0	2	0	0	0	0	5
NYU-1:AML1371	0	1	144	73	3	1	573	910	0	15	0	0	1	0	0	0	1	2	12	3	45	0	1	29	146	203	0	2	34	150	50	17	0	0	0	1	6	1	0	3	0	0	0	0	0	35	0	0	0	5	31	140	0	0	2	0	1	6	3	1510	0	100	2	29	0	0	0	0	0	0	0	0	7	138	0	4	0	0	146	71	23	2	0	0	0	0	2	13	7	2
NYU-1:AML1540	0	3	18	1	344	1	20	26	1	516	0	0	0	0	0	1	1	6	3	0	0	0	1	367	1452	1561	8	27	28	6	27	133	34	1	0	6	10	25	4	0	0	2	1	24	0	216	0	0	0	94	697	532	256	24	25	8	13	282	46	39	0	421	8	74	0	0	1	0	1	1	0	0	0	14	1	4	0	0	203	98	21	118	3	0	514	1	14	138	16	18
NYU-1:AML1552	0	1	18	0	46	0	359	344	0	0	2	0	0	0	1	1	0	0	1	0	2	0	0	8	1	99	0	1	0	1156	1	0	0	0	0	0	2	3	0	1	0	0	0	0	0	5	0	0	0	5	4	27	0	0	0	0	0	0	0	176	0	15	0	0	0	0	0	0	0	2	0	0	49	26	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1
NYU-1:AML2123	0	0	184	14	0	0	110	173	0	15	6	6	1	8	21	20	27	106	97	10	490	1	4	38	4	53	3	57	67	40	9	1	1	0	0	0	0	21	4	9	1	6	2	13	1	581	9	0	0	1	3	176	2	3	13	0	1	1	0	106	17	3	4	14	0	0	0	0	0	0	0	0	47	61	0	7	0	0	2	4	5	0	1	0	4	3	2	0	1	5
NYU-1:AML22-Decitabine	0	0	166	80	0	0	14	85	0	101	0	1	1	0	0	1	0	5	11	6	64	0	0	15	5	90	761	252	5	48	0	2	0	0	0	0	22	160	17	5	0	245	37	0	0	2239	0	0	1	17	42	293	392	133	162	1	2	2	5	352	1	12	0	8	0	0	0	0	0	0	0	0	0	8	1	6	0	0	3	3	3	1	58	4	1	4	0	0	0	807
NYU-1:AML2451	0	0	292	10	13	0	130	186	0	63	1	1	0	2	2	0	1	7	0	0	33	0	3	1810	25	1764	0	7	100	116	16	9	0	0	0	0	6	24	0	3	0	1	0	6	0	152	0	0	0	84	454	683	0	0	3	0	2	16	14	125	2	270	0	11	1	0	0	0	0	0	1	0	38	19	0	0	0	0	28	2	7	6	2	0	2	0	1	4	0	14
NYU-1:AML2910	0	37	61	8	2	0	18	22	79	44	0	2	0	1	9	4	8	21	10	0	6	0	0	273	879	1040	3	427	508	7	196	187	193	29	11	119	2	10	1	5	0	0	1	84	1	77	0	0	0	14	363	653	4	0	343	54	7	19	6	19	0	101	1	20	2	1	1	3	41	13	2	1	2	7	0	0	1	1	185	402	1971	13	0	1	1767	1	109	136	103	0
NYU-1:AML3050	0	2	106	10	21	0	87	113	45	78	15	6	0	20	13	19	48	93	27	1	38	5	16	410	49	171	3	11	12	55	33	3	2	1	1	2	9	10	14	8	0	5	0	29	1	25	2	0	0	675	70	383	3	1	6	1	85	101	868	56	5	103	1	65	6	0	0	0	3	9	5	1	41	46	0	5	0	1	14	23	35	851	5	2	23	2	2	98	11	4
