modality	mutation	model	npos	auc
Lipid	mut_IDH2	NaiveB	6	0.3875
Lipid	mut_IDH2	kNN	6	0.5791666666666667
Lipid	mut_IDH2	MLP	6	0.37499999999999994
Lipid	mut_NPM1	logL2	12	0.9047619047619048
Lipid	mut_NPM1	logL1	12	0.8809523809523809
Lipid	mut_NPM1	elastic	12	0.875
Lipid	mut_NPM1	linSVM	12	0.9107142857142857
Lipid	mut_NPM1	shrLDA	12	0.9047619047619048
Lipid	mut_NPM1	PLS	12	0.8571428571428571
Lipid	mut_NPM1	RF	12	0.8154761904761905
Lipid	mut_NPM1	HistGB	12	0.8928571428571428
Lipid	mut_NPM1	NaiveB	12	0.5833333333333333
Lipid	mut_NPM1	kNN	12	0.7410714285714287
Lipid	mut_NPM1	MLP	12	0.8333333333333333
Lipid	mut_NRAS	logL2	5	0.5333333333333334
Lipid	mut_NRAS	logL1	5	0.6666666666666666
Lipid	mut_NRAS	elastic	5	0.5714285714285715
Lipid	mut_NRAS	linSVM	5	0.5523809523809524
Lipid	mut_NRAS	shrLDA	5	0.580952380952381
Lipid	mut_NRAS	PLS	5	0.4952380952380952
Lipid	mut_NRAS	RF	5	0.6333333333333334
Lipid	mut_NRAS	HistGB	5	0.39047619047619053
Lipid	mut_NRAS	NaiveB	5	0.5714285714285714
Lipid	mut_NRAS	kNN	5	0.6238095238095238
Lipid	mut_NRAS	MLP	5	0.6571428571428573
Lipid	mut_PHIP	logL2	3	0.8985507246376812
Lipid	mut_PHIP	logL1	3	0.7681159420289856
Lipid	mut_PHIP	elastic	3	0.8405797101449276
Lipid	mut_PHIP	linSVM	3	0.9710144927536232
Lipid	mut_PHIP	shrLDA	3	0.9565217391304348
Lipid	mut_PHIP	PLS	3	0.9565217391304348
Lipid	mut_PHIP	RF	3	0.9130434782608696
Lipid	mut_PHIP	HistGB	3	0.782608695652174
Lipid	mut_PHIP	NaiveB	3	0.8985507246376812
Lipid	mut_PHIP	kNN	3	0.7753623188405796
Lipid	mut_PHIP	MLP	3	0.8405797101449275
Lipid	mut_RUNX1	logL2	5	0.980952380952381
Lipid	mut_RUNX1	logL1	5	0.9238095238095239
Lipid	mut_RUNX1	elastic	5	0.9428571428571428
Lipid	mut_RUNX1	linSVM	5	0.9619047619047619
Lipid	mut_RUNX1	shrLDA	5	1.0
Lipid	mut_RUNX1	PLS	5	1.0
Lipid	mut_RUNX1	RF	5	0.9476190476190476
Lipid	mut_RUNX1	HistGB	5	0.8571428571428572
Lipid	mut_RUNX1	NaiveB	5	0.8095238095238095
Lipid	mut_RUNX1	kNN	5	0.9904761904761904
Lipid	mut_RUNX1	MLP	5	0.6571428571428571
Lipid	mut_SRSF2	logL2	5	0.7333333333333334
Lipid	mut_SRSF2	logL1	5	0.6
Lipid	mut_SRSF2	elastic	5	0.6571428571428571
Lipid	mut_SRSF2	linSVM	5	0.7523809523809524
Lipid	mut_SRSF2	shrLDA	5	0.7333333333333333
Lipid	mut_SRSF2	PLS	5	0.7428571428571429
Lipid	mut_SRSF2	RF	5	0.8047619047619048
Lipid	mut_SRSF2	HistGB	5	0.5619047619047619
Lipid	mut_SRSF2	NaiveB	5	0.6666666666666667
Lipid	mut_SRSF2	kNN	5	0.6047619047619047
Lipid	mut_SRSF2	MLP	5	0.580952380952381
Lipid	mut_TET2	logL2	9	0.7973856209150326
Lipid	mut_TET2	logL1	9	0.7450980392156863
Lipid	mut_TET2	elastic	9	0.7647058823529411
Lipid	mut_TET2	linSVM	9	0.8888888888888888
Lipid	mut_TET2	shrLDA	9	0.8169934640522876
Lipid	mut_TET2	PLS	9	0.8627450980392156
Lipid	mut_TET2	RF	9	0.6862745098039216
Lipid	mut_TET2	HistGB	9	0.7058823529411764
Lipid	mut_TET2	NaiveB	9	0.6339869281045751
Lipid	mut_TET2	kNN	9	0.7222222222222221
Lipid	mut_TET2	MLP	9	0.6470588235294117
Lipid	mut_TP53	logL2	4	0.7727272727272727
Lipid	mut_TP53	logL1	4	0.7840909090909091
Lipid	mut_TP53	elastic	4	0.7840909090909091
Lipid	mut_TP53	linSVM	4	0.7840909090909091
Lipid	mut_TP53	shrLDA	4	0.7954545454545454
Lipid	mut_TP53	PLS	4	0.7727272727272727
Lipid	mut_TP53	RF	4	0.8465909090909091
Lipid	mut_TP53	HistGB	4	0.7954545454545454
Lipid	mut_TP53	NaiveB	4	0.7727272727272727
Lipid	mut_TP53	kNN	4	0.8409090909090909
Lipid	mut_TP53	MLP	4	0.6477272727272726
Lipid	mut_inv(16)_CBFB-MYH11	logL2	4	0.9090909090909091
