mutation	model	modality	cv_mean	cv_std	weight
cyto_inv16	logL1	Composition	0.949	0.021	0.122
cyto_inv16	logL1	GRN	0.995	0.004	0.176
cyto_inv16	logL1	LSC	0.517	0.044	0.004
cyto_inv16	logL1	Lipid	0.996	0.004	0.178
cyto_inv16	logL1	Metabolite	0.997	0.004	0.177
cyto_inv16	logL1	RNA	0.993	0.005	0.173
cyto_inv16	elastic	ADT	0.985	0.015	0.127
cyto_inv16	elastic	Cell-comm	0.987	0.018	0.122
cyto_inv16	elastic	Composition	0.956	0.017	0.116
cyto_inv16	elastic	GRN	0.996	0.003	0.159
cyto_inv16	elastic	LSC	0.516	0.063	0.002
cyto_inv16	elastic	Lipid	0.998	0.002	0.163
cyto_inv16	elastic	Metabolite	0.996	0.004	0.157
cyto_inv16	elastic	RNA	0.994	0.004	0.154
cyto_inv16	linSVM	ADT	0.985	0.014	0.141
cyto_inv16	linSVM	Cell-comm	0.948	0.02	0.118
cyto_inv16	linSVM	Composition	0.958	0.031	0.104
cyto_inv16	linSVM	GRN	0.97	0.018	0.127
cyto_inv16	linSVM	LSC	0.581	0.021	0.021
cyto_inv16	linSVM	Lipid	0.996	0.003	0.174
cyto_inv16	linSVM	Metabolite	0.991	0.01	0.151
cyto_inv16	linSVM	RNA	0.996	0.006	0.163
cyto_inv16	shrLDA	ADT	0.99	0.006	0.166
cyto_inv16	shrLDA	Cell-comm	0.667	0.118	0.019
cyto_inv16	shrLDA	Composition	0.981	0.011	0.149
cyto_inv16	shrLDA	GRN	0.973	0.035	0.104
cyto_inv16	shrLDA	LSC	0.579	0.011	0.025
cyto_inv16	shrLDA	Lipid	0.997	0.002	0.178
cyto_inv16	shrLDA	Metabolite	0.996	0.003	0.178
cyto_inv16	shrLDA	RNA	0.999	0.002	0.181
cyto_inv16	PLS	ADT	0.986	0.005	0.145
cyto_inv16	PLS	Cell-comm	0.992	0.008	0.139
cyto_inv16	PLS	Composition	0.956	0.035	0.088
cyto_inv16	PLS	GRN	0.996	0.003	0.155
cyto_inv16	PLS	LSC	0.463	0.08	0.0
cyto_inv16	PLS	Lipid	0.997	0.002	0.156
cyto_inv16	PLS	Metabolite	0.996	0.003	0.155
cyto_inv16	PLS	RNA	1.0	0.0	0.164
cyto_inv16	RF	ADT	0.983	0.024	0.107
cyto_inv16	RF	Cell-comm	0.992	0.006	0.145
cyto_inv16	RF	Composition	0.988	0.014	0.125
cyto_inv16	RF	GRN	0.994	0.005	0.147
cyto_inv16	RF	LSC	0.775	0.167	0.021
cyto_inv16	RF	Lipid	0.997	0.002	0.157
cyto_inv16	RF	Metabolite	0.997	0.004	0.151
cyto_inv16	RF	RNA	0.995	0.005	0.147
cyto_inv16	HistGB	ADT	0.992	0.009	0.128
cyto_inv16	HistGB	Cell-comm	0.997	0.004	0.142
cyto_inv16	HistGB	Composition	0.99	0.012	0.122
cyto_inv16	HistGB	GRN	0.998	0.002	0.147
cyto_inv16	HistGB	LSC	0.799	0.052	0.045
cyto_inv16	HistGB	Lipid	0.996	0.003	0.142
cyto_inv16	HistGB	Metabolite	0.988	0.007	0.132
cyto_inv16	HistGB	RNA	0.997	0.004	0.141
cyto_inv16	NaiveB	ADT	0.967	0.032	0.251
cyto_inv16	NaiveB	Cell-comm	0.865	0.032	0.195
cyto_inv16	NaiveB	Composition	0.736	0.197	0.042
cyto_inv16	NaiveB	GRN	0.88	0.167	0.077
cyto_inv16	NaiveB	LSC	0.778	0.034	0.146
cyto_inv16	NaiveB	Lipid	0.903	0.134	0.097
cyto_inv16	NaiveB	Metabolite	0.896	0.129	0.097
cyto_inv16	NaiveB	RNA	0.898	0.134	0.095
cyto_inv16	kNN	ADT	0.965	0.042	0.116
cyto_inv16	kNN	Cell-comm	0.5	0.0	0.0
cyto_inv16	kNN	Composition	0.921	0.091	0.069
cyto_inv16	kNN	GRN	0.972	0.037	0.126
cyto_inv16	kNN	LSC	0.74	0.04	0.061
cyto_inv16	kNN	Lipid	1.0	0.0	0.231
cyto_inv16	kNN	Metabolite	0.994	0.008	0.197
cyto_inv16	kNN	RNA	0.985	0.006	0.199
cyto_inv16	MLP	ADT	0.443	0.096	0.0
cyto_inv16	MLP	Cell-comm	0.933	0.048	0.294
cyto_inv16	MLP	Composition	0.518	0.076	0.01
cyto_inv16	MLP	GRN	0.852	0.172	0.106
cyto_inv16	MLP	LSC	0.47	0.009	0.0
cyto_inv16	MLP	Lipid	0.941	0.031	0.362
cyto_inv16	MLP	Metabolite	0.888	0.158	0.125
cyto_inv16	MLP	RNA	0.862	0.183	0.104
cyto_trisomy8	logL2	ADT	0.62	0.143	0.117
cyto_trisomy8	logL2	Cell-comm	0.539	0.117	0.044
cyto_trisomy8	logL2	Composition	0.602	0.089	0.138
cyto_trisomy8	logL2	GRN	0.594	0.104	0.114
cyto_trisomy8	logL2	LSC	0.68	0.066	0.292
cyto_trisomy8	logL2	Lipid	0.648	0.146	0.142
cyto_trisomy8	logL2	Metabolite	0.568	0.186	0.054
cyto_trisomy8	logL2	RNA	0.579	0.101	0.099
cyto_trisomy8	logL1	ADT	0.6	0.169	0.13
cyto_trisomy8	logL1	Cell-comm	0.491	0.003	0.0
cyto_trisomy8	logL1	Composition	0.527	0.123	0.044
cyto_trisomy8	logL1	GRN	0.61	0.046	0.326
cyto_trisomy8	logL1	LSC	0.631	0.082	0.283
cyto_trisomy8	logL1	Lipid	0.625	0.141	0.187
cyto_trisomy8	logL1	Metabolite	0.387	0.099	0.0
cyto_trisomy8	logL1	RNA	0.518	0.121	0.03
cyto_trisomy8	elastic	ADT	0.658	0.156	0.196
cyto_trisomy8	elastic	Cell-comm	0.535	0.202	0.035
cyto_trisomy8	elastic	Composition	0.54	0.075	0.083
cyto_trisomy8	elastic	GRN	0.636	0.054	0.336
cyto_trisomy8	elastic	LSC	0.532	0.087	0.06
cyto_trisomy8	elastic	Lipid	0.598	0.132	0.138
cyto_trisomy8	elastic	Metabolite	0.527	0.079	0.054
cyto_trisomy8	elastic	RNA	0.572	0.138	0.098
cyto_trisomy8	linSVM	ADT	0.621	0.114	0.09
cyto_trisomy8	linSVM	Cell-comm	0.639	0.099	0.114
cyto_trisomy8	linSVM	Composition	0.559	0.045	0.076
cyto_trisomy8	linSVM	GRN	0.674	0.072	0.174
cyto_trisomy8	linSVM	LSC	0.68	0.071	0.182
cyto_trisomy8	linSVM	Lipid	0.747	0.087	0.22
cyto_trisomy8	linSVM	Metabolite	0.668	0.147	0.104
cyto_trisomy8	linSVM	RNA	0.589	0.225	0.039
cyto_trisomy8	shrLDA	ADT	0.668	0.135	0.163
cyto_trisomy8	shrLDA	Cell-comm	0.5	0.0	0.0
cyto_trisomy8	shrLDA	Composition	0.577	0.058	0.129
cyto_trisomy8	shrLDA	GRN	0.515	0.161	0.013
cyto_trisomy8	shrLDA	LSC	0.672	0.136	0.166
cyto_trisomy8	shrLDA	Lipid	0.788	0.083	0.388
cyto_trisomy8	shrLDA	Metabolite	0.567	0.035	0.142
cyto_trisomy8	shrLDA	RNA	0.399	0.149	0.0
cyto_trisomy8	PLS	ADT	0.62	0.181	0.053
cyto_trisomy8	PLS	Cell-comm	0.675	0.071	0.146
