mutation	model	modality	cv_mean	cv_std	weight
mut_FLT3-ITD	elastic	LSC	0.689	0.056	0.099
mut_FLT3-ITD	elastic	Lipid	0.822	0.069	0.151
mut_FLT3-ITD	elastic	Metabolite	0.786	0.069	0.134
mut_FLT3-ITD	elastic	RNA	0.812	0.054	0.168
mut_FLT3-ITD	linSVM	ADT	0.839	0.066	0.166
mut_FLT3-ITD	linSVM	Cell-comm	0.659	0.169	0.041
mut_FLT3-ITD	linSVM	Composition	0.744	0.185	0.059
mut_FLT3-ITD	linSVM	GRN	0.734	0.122	0.078
mut_FLT3-ITD	linSVM	LSC	0.69	0.057	0.102
mut_FLT3-ITD	linSVM	Lipid	0.828	0.049	0.188
mut_FLT3-ITD	linSVM	Metabolite	0.803	0.071	0.142
mut_FLT3-ITD	linSVM	RNA	0.868	0.044	0.223
mut_FLT3-ITD	shrLDA	ADT	0.849	0.054	0.2
mut_FLT3-ITD	shrLDA	Cell-comm	0.499	0.002	0.0
mut_FLT3-ITD	shrLDA	Composition	0.716	0.149	0.065
mut_FLT3-ITD	shrLDA	GRN	0.793	0.086	0.129
mut_FLT3-ITD	shrLDA	LSC	0.696	0.074	0.094
mut_FLT3-ITD	shrLDA	Lipid	0.852	0.058	0.195
mut_FLT3-ITD	shrLDA	Metabolite	0.805	0.054	0.175
mut_FLT3-ITD	shrLDA	RNA	0.83	0.087	0.143
mut_FLT3-ITD	PLS	ADT	0.829	0.048	0.207
mut_FLT3-ITD	PLS	Cell-comm	0.591	0.153	0.028
mut_FLT3-ITD	PLS	Composition	0.673	0.114	0.065
mut_FLT3-ITD	PLS	GRN	0.822	0.079	0.154
mut_FLT3-ITD	PLS	LSC	0.617	0.039	0.082
mut_FLT3-ITD	PLS	Lipid	0.855	0.077	0.172
mut_FLT3-ITD	PLS	Metabolite	0.821	0.098	0.134
mut_FLT3-ITD	PLS	RNA	0.828	0.077	0.159
mut_FLT3-ITD	RF	ADT	0.808	0.02	0.234
mut_FLT3-ITD	RF	Cell-comm	0.655	0.009	0.14
mut_FLT3-ITD	RF	Composition	0.773	0.099	0.098
mut_FLT3-ITD	RF	GRN	0.801	0.086	0.118
mut_FLT3-ITD	RF	LSC	0.673	0.063	0.081
mut_FLT3-ITD	RF	Lipid	0.822	0.066	0.147
mut_FLT3-ITD	RF	Metabolite	0.782	0.062	0.134
mut_FLT3-ITD	RF	RNA	0.703	0.182	0.047
mut_FLT3-ITD	HistGB	ADT	0.779	0.022	0.239
mut_FLT3-ITD	HistGB	Cell-comm	0.606	0.127	0.037
mut_FLT3-ITD	HistGB	Composition	0.689	0.037	0.133
mut_FLT3-ITD	HistGB	GRN	0.727	0.124	0.081
mut_FLT3-ITD	HistGB	LSC	0.686	0.072	0.094
mut_FLT3-ITD	HistGB	Lipid	0.764	0.047	0.169
mut_FLT3-ITD	HistGB	Metabolite	0.739	0.044	0.157
mut_FLT3-ITD	HistGB	RNA	0.724	0.104	0.09
mut_FLT3-ITD	NaiveB	ADT	0.782	0.007	0.259
mut_FLT3-ITD	NaiveB	Cell-comm	0.614	0.056	0.057
mut_FLT3-ITD	NaiveB	Composition	0.691	0.031	0.124
mut_FLT3-ITD	NaiveB	GRN	0.71	0.01	0.184
mut_FLT3-ITD	NaiveB	LSC	0.673	0.054	0.087
mut_FLT3-ITD	NaiveB	Lipid	0.737	0.064	0.109
mut_FLT3-ITD	NaiveB	Metabolite	0.749	0.023	0.18
mut_FLT3-ITD	NaiveB	RNA	0.487	0.098	0.0
mut_FLT3-ITD	kNN	ADT	0.752	0.058	0.177
mut_FLT3-ITD	kNN	Cell-comm	0.5	0.0	0.0
mut_FLT3-ITD	kNN	Composition	0.734	0.094	0.123
mut_FLT3-ITD	kNN	GRN	0.824	0.069	0.207
mut_FLT3-ITD	kNN	LSC	0.64	0.082	0.081
mut_FLT3-ITD	kNN	Lipid	0.758	0.114	0.12
mut_FLT3-ITD	kNN	Metabolite	0.731	0.036	0.205
mut_FLT3-ITD	kNN	RNA	0.662	0.09	0.088
mut_FLT3-ITD	MLP	ADT	0.667	0.017	0.321
mut_FLT3-ITD	MLP	Cell-comm	0.684	0.098	0.159
mut_FLT3-ITD	MLP	Composition	0.504	0.073	0.004
mut_FLT3-ITD	MLP	GRN	0.737	0.141	0.16
mut_FLT3-ITD	MLP	LSC	0.392	0.058	0.0
mut_FLT3-ITD	MLP	Lipid	0.549	0.104	0.041
mut_FLT3-ITD	MLP	Metabolite	0.736	0.047	0.314
mut_FLT3-ITD	MLP	RNA	0.439	0.1	0.0
mut_FLT3-TKD	logL2	ADT	0.871	0.031	0.249
mut_FLT3-TKD	logL2	Cell-comm	0.621	0.122	0.038
mut_FLT3-TKD	logL2	Composition	0.723	0.078	0.095
mut_FLT3-TKD	logL2	GRN	0.763	0.086	0.105
mut_FLT3-TKD	logL2	LSC	0.559	0.134	0.017
mut_FLT3-TKD	logL2	Lipid	0.797	0.053	0.157
mut_FLT3-TKD	logL2	Metabolite	0.775	0.083	0.112
mut_FLT3-TKD	logL2	RNA	0.871	0.04	0.226
mut_FLT3-TKD	logL1	ADT	0.871	0.064	0.213
mut_FLT3-TKD	logL1	Cell-comm	0.497	0.004	0.0
mut_FLT3-TKD	logL1	Composition	0.748	0.147	0.082
mut_FLT3-TKD	logL1	GRN	0.837	0.087	0.161
mut_FLT3-TKD	logL1	LSC	0.546	0.124	0.017
mut_FLT3-TKD	logL1	Lipid	0.802	0.079	0.153
mut_FLT3-TKD	logL1	Metabolite	0.756	0.095	0.115
mut_FLT3-TKD	logL1	RNA	0.9	0.051	0.259
mut_FLT3-TKD	elastic	ADT	0.88	0.044	0.235
mut_FLT3-TKD	elastic	Cell-comm	0.586	0.091	0.035
mut_FLT3-TKD	elastic	Composition	0.693	0.14	0.059
mut_FLT3-TKD	elastic	GRN	0.833	0.085	0.144
mut_FLT3-TKD	elastic	LSC	0.63	0.158	0.036
mut_FLT3-TKD	elastic	Lipid	0.802	0.069	0.148
mut_FLT3-TKD	elastic	Metabolite	0.757	0.089	0.108
mut_FLT3-TKD	elastic	RNA	0.896	0.048	0.235
mut_FLT3-TKD	linSVM	ADT	0.864	0.048	0.283
mut_FLT3-TKD	linSVM	Cell-comm	0.538	0.236	0.01
mut_FLT3-TKD	linSVM	Composition	0.671	0.103	0.085
mut_FLT3-TKD	linSVM	GRN	0.732	0.015	0.275
mut_FLT3-TKD	linSVM	LSC	0.546	0.128	0.02
mut_FLT3-TKD	linSVM	Lipid	0.757	0.089	0.141
mut_FLT3-TKD	linSVM	Metabolite	0.712	0.089	0.117
mut_FLT3-TKD	linSVM	RNA	0.652	0.116	0.07
mut_FLT3-TKD	shrLDA	ADT	0.83	0.098	0.238
mut_FLT3-TKD	shrLDA	Cell-comm	0.499	0.002	0.0
mut_FLT3-TKD	shrLDA	Composition	0.578	0.032	0.102
mut_FLT3-TKD	shrLDA	GRN	0.619	0.089	0.091
mut_FLT3-TKD	shrLDA	LSC	0.61	0.143	0.06
mut_FLT3-TKD	shrLDA	Lipid	0.815	0.107	0.213
mut_FLT3-TKD	shrLDA	Metabolite	0.784	0.083	0.227
mut_FLT3-TKD	shrLDA	RNA	0.607	0.116	0.068
mut_FLT3-TKD	PLS	ADT	0.833	0.076	0.271
mut_FLT3-TKD	PLS	Cell-comm	0.662	0.135	0.09
mut_FLT3-TKD	PLS	Composition	0.471	0.047	0.0
mut_FLT3-TKD	PLS	GRN	0.796	0.094	0.211
mut_FLT3-TKD	PLS	LSC	0.525	0.093	0.018
mut_FLT3-TKD	PLS	Lipid	0.788	0.115	0.179
mut_FLT3-TKD	PLS	Metabolite	0.694	0.071	0.165
mut_FLT3-TKD	PLS	RNA	0.615	0.132	0.065
mut_FLT3-TKD	RF	ADT	0.792	0.091	0.16
mut_FLT3-TKD	RF	Cell-comm	0.622	0.188	0.04
mut_FLT3-TKD	RF	Composition	0.641	0.068	0.093
mut_FLT3-TKD	RF	GRN	0.701	0.12	0.091
mut_FLT3-TKD	RF	LSC	0.643	0.099	0.074
mut_FLT3-TKD	RF	Lipid	0.787	0.108	0.14
mut_FLT3-TKD	RF	Metabolite	0.797	0.088	0.167
mut_FLT3-TKD	RF	RNA	0.812	0.052	0.235
mut_FLT3-TKD	HistGB	ADT	0.836	0.051	0.242
mut_FLT3-TKD	HistGB	Cell-comm	0.554	0.099	0.026
mut_FLT3-TKD	HistGB	Composition	0.689	0.069	0.115
mut_FLT3-TKD	HistGB	GRN	0.678	0.102	0.086
mut_FLT3-TKD	HistGB	LSC	0.625	0.088	0.066
mut_FLT3-TKD	HistGB	Lipid	0.756	0.069	0.158
mut_FLT3-TKD	HistGB	Metabolite	0.735	0.166	0.079
mut_FLT3-TKD	HistGB	RNA	0.895	0.076	0.228
mut_FLT3-TKD	NaiveB	ADT	0.695	0.145	0.128
mut_FLT3-TKD	NaiveB	Cell-comm	0.548	0.102	0.04
mut_FLT3-TKD	NaiveB	Composition	0.677	0.058	0.21
mut_FLT3-TKD	NaiveB	GRN	0.615	0.094	0.102
mut_FLT3-TKD	NaiveB	LSC	0.659	0.128	0.114
mut_FLT3-TKD	NaiveB	Lipid	0.675	0.159	0.107
mut_FLT3-TKD	NaiveB	Metabolite	0.707	0.157	0.128
mut_FLT3-TKD	NaiveB	RNA	0.735	0.125	0.171
mut_FLT3-TKD	kNN	ADT	0.66	0.173	0.136
mut_FLT3-TKD	kNN	Cell-comm	0.5	0.0	0.0
mut_FLT3-TKD	kNN	Composition	0.654	0.141	0.154
mut_FLT3-TKD	kNN	GRN	0.525	0.081	0.036
mut_FLT3-TKD	kNN	LSC	0.54	0.074	0.061
mut_FLT3-TKD	kNN	Lipid	0.533	0.071	0.052
mut_FLT3-TKD	kNN	Metabolite	0.585	0.006	0.289
mut_FLT3-TKD	kNN	RNA	0.715	0.101	0.271
mut_FLT3-TKD	MLP	ADT	0.551	0.22	0.086
mut_FLT3-TKD	MLP	Cell-comm	0.57	0.237	0.112
mut_FLT3-TKD	MLP	Composition	0.428	0.092	0.0
mut_FLT3-TKD	MLP	GRN	0.6	0.117	0.274
mut_FLT3-TKD	MLP	LSC	0.466	0.103	0.0
mut_FLT3-TKD	MLP	Lipid	0.694	0.207	0.345
mut_FLT3-TKD	MLP	Metabolite	0.602	0.207	0.182
mut_FLT3-TKD	MLP	RNA	0.5	0.078	0.002
mut_IDH1	logL2	ADT	0.638	0.056	0.139
mut_IDH1	logL2	Cell-comm	0.805	0.097	0.221
mut_IDH1	logL2	Composition	0.537	0.08	0.03
mut_IDH1	logL2	GRN	0.679	0.113	0.117
mut_IDH1	logL2	LSC	0.407	0.091	0.0
mut_IDH1	logL2	Lipid	0.781	0.151	0.149
mut_IDH1	logL2	Metabolite	0.712	0.147	0.115
mut_IDH1	logL2	RNA	0.848	0.112	0.229
mut_IDH1	logL1	ADT	0.666	0.055	0.16
mut_IDH1	logL1	Cell-comm	0.537	0.059	0.034
mut_IDH1	logL1	Composition	0.436	0.049	0.0
mut_IDH1	logL1	GRN	0.65	0.133	0.083
mut_IDH1	logL1	LSC	0.398	0.082	0.0
mut_IDH1	logL1	Lipid	0.781	0.046	0.296
mut_IDH1	logL1	Metabolite	0.671	0.133	0.094
mut_IDH1	logL1	RNA	0.874	0.063	0.333
mut_IDH1	elastic	ADT	0.643	0.05	0.149
mut_IDH1	elastic	Cell-comm	0.715	0.115	0.135
mut_IDH1	elastic	Composition	0.447	0.076	0.0
mut_IDH1	elastic	GRN	0.674	0.13	0.101
mut_IDH1	elastic	LSC	0.611	0.078	0.09
mut_IDH1	elastic	Lipid	0.759	0.145	0.138
mut_IDH1	elastic	Metabolite	0.696	0.164	0.095
mut_IDH1	elastic	RNA	0.86	0.078	0.293
mut_IDH1	linSVM	ADT	0.673	0.085	0.169
mut_IDH1	linSVM	Cell-comm	0.618	0.093	0.109
mut_IDH1	linSVM	Composition	0.483	0.097	0.0
mut_IDH1	linSVM	GRN	0.554	0.066	0.062
mut_IDH1	linSVM	LSC	0.421	0.094	0.0
mut_IDH1	linSVM	Lipid	0.724	0.156	0.144
mut_IDH1	linSVM	Metabolite	0.673	0.133	0.125
mut_IDH1	linSVM	RNA	0.868	0.075	0.391
mut_IDH1	shrLDA	ADT	0.641	0.106	0.111
mut_IDH1	shrLDA	Cell-comm	0.5	0.0	0.0
mut_IDH1	shrLDA	Composition	0.492	0.051	0.0
mut_IDH1	shrLDA	GRN	0.705	0.131	0.139
mut_IDH1	shrLDA	LSC	0.394	0.078	0.0
mut_IDH1	shrLDA	Lipid	0.664	0.071	0.166
mut_IDH1	shrLDA	Metabolite	0.661	0.069	0.166
mut_IDH1	shrLDA	RNA	0.833	0.048	0.417
mut_IDH1	PLS	ADT	0.635	0.135	0.092
mut_IDH1	PLS	Cell-comm	0.773	0.094	0.238
mut_IDH1	PLS	Composition	0.438	0.047	0.0
mut_IDH1	PLS	GRN	0.66	0.101	0.133
mut_IDH1	PLS	LSC	0.545	0.132	0.031
mut_IDH1	PLS	Lipid	0.691	0.122	0.14
mut_IDH1	PLS	Metabolite	0.604	0.136	0.07
mut_IDH1	PLS	RNA	0.82	0.086	0.296
mut_IDH1	RF	ADT	0.597	0.1	0.065
mut_IDH1	RF	Cell-comm	0.707	0.088	0.15
mut_IDH1	RF	Composition	0.65	0.103	0.098
mut_IDH1	RF	GRN	0.681	0.075	0.145
mut_IDH1	RF	LSC	0.479	0.035	0.0
mut_IDH1	RF	Lipid	0.663	0.04	0.181
mut_IDH1	RF	Metabolite	0.651	0.075	0.121
mut_IDH1	RF	RNA	0.815	0.082	0.239
mut_IDH1	HistGB	ADT	0.556	0.092	0.052
mut_IDH1	HistGB	Cell-comm	0.611	0.031	0.183
mut_IDH1	HistGB	Composition	0.561	0.033	0.097
mut_IDH1	HistGB	GRN	0.64	0.053	0.181
mut_IDH1	HistGB	LSC	0.508	0.123	0.006
mut_IDH1	HistGB	Lipid	0.569	0.166	0.042
mut_IDH1	HistGB	Metabolite	0.637	0.061	0.165
mut_IDH1	HistGB	RNA	0.762	0.078	0.273
mut_IDH1	NaiveB	ADT	0.64	0.141	0.09
mut_IDH1	NaiveB	Cell-comm	0.727	0.096	0.189
mut_IDH1	NaiveB	Composition	0.446	0.008	0.0
mut_IDH1	NaiveB	GRN	0.548	0.146	0.03
mut_IDH1	NaiveB	LSC	0.391	0.049	0.0
mut_IDH1	NaiveB	Lipid	0.667	0.08	0.158
mut_IDH1	NaiveB	Metabolite	0.631	0.076	0.126
mut_IDH1	NaiveB	RNA	0.85	0.055	0.407
mut_IDH1	kNN	ADT	0.508	0.032	0.03
mut_IDH1	kNN	Cell-comm	0.5	0.0	0.0
mut_IDH1	kNN	Composition	0.445	0.054	0.0
mut_IDH1	kNN	GRN	0.565	0.125	0.113
mut_IDH1	kNN	LSC	0.541	0.082	0.094
mut_IDH1	kNN	Lipid	0.617	0.131	0.194
mut_IDH1	kNN	Metabolite	0.568	0.13	0.114
mut_IDH1	kNN	RNA	0.778	0.134	0.455
mut_IDH1	MLP	ADT	0.458	0.102	0.0
mut_IDH1	MLP	Cell-comm	0.663	0.104	0.546
mut_IDH1	MLP	Composition	0.575	0.153	0.191
mut_IDH1	MLP	GRN	0.414	0.134	0.0
mut_IDH1	MLP	LSC	0.581	0.136	0.225
mut_IDH1	MLP	Lipid	0.443	0.124	0.0
mut_IDH1	MLP	Metabolite	0.517	0.175	0.038
mut_IDH1	MLP	RNA	0.331	0.071	0.0
mut_IDH2	logL2	ADT	0.58	0.186	0.093
mut_IDH2	logL2	Cell-comm	0.499	0.126	0.0
mut_IDH2	logL2	Composition	0.609	0.113	0.183
mut_IDH2	logL2	GRN	0.604	0.101	0.188
mut_IDH2	logL2	LSC	0.567	0.136	0.098
mut_IDH2	logL2	Lipid	0.529	0.13	0.045
mut_IDH2	logL2	Metabolite	0.526	0.101	0.048
mut_IDH2	logL2	RNA	0.747	0.146	0.345
mut_IDH2	logL1	ADT	0.615	0.19	0.132
mut_IDH2	logL1	Cell-comm	0.494	0.004	0.0
mut_IDH2	logL1	Composition	0.589	0.162	0.116
mut_IDH2	logL1	GRN	0.629	0.169	0.163
mut_IDH2	logL1	LSC	0.573	0.139	0.107
mut_IDH2	logL1	Lipid	0.521	0.098	0.04
mut_IDH2	logL1	Metabolite	0.604	0.2	0.115
mut_IDH2	logL1	RNA	0.743	0.155	0.327
mut_IDH2	elastic	ADT	0.557	0.19	0.065
mut_IDH2	elastic	Cell-comm	0.5	0.186	0.0
mut_IDH2	elastic	Composition	0.582	0.149	0.113
mut_IDH2	elastic	GRN	0.66	0.148	0.221
mut_IDH2	elastic	LSC	0.593	0.208	0.099
mut_IDH2	elastic	Lipid	0.515	0.132	0.023
mut_IDH2	elastic	Metabolite	0.562	0.115	0.104
mut_IDH2	elastic	RNA	0.749	0.131	0.376
mut_IDH2	linSVM	ADT	0.545	0.175	0.043
mut_IDH2	linSVM	Cell-comm	0.561	0.061	0.118
mut_IDH2	linSVM	Composition	0.558	0.09	0.09
mut_IDH2	linSVM	GRN	0.598	0.087	0.155
mut_IDH2	linSVM	LSC	0.561	0.128	0.074
mut_IDH2	linSVM	Lipid	0.548	0.061	0.093
mut_IDH2	linSVM	Metabolite	0.645	0.079	0.244
mut_IDH2	linSVM	RNA	0.589	0.055	0.183
mut_IDH2	shrLDA	ADT	0.435	0.125	0.0
mut_IDH2	shrLDA	Cell-comm	0.5	0.0	0.0
mut_IDH2	shrLDA	Composition	0.579	0.146	0.19
mut_IDH2	shrLDA	GRN	0.62	0.065	0.497
mut_IDH2	shrLDA	LSC	0.592	0.112	0.27
mut_IDH2	shrLDA	Lipid	0.453	0.067	0.0
mut_IDH2	shrLDA	Metabolite	0.509	0.046	0.043
mut_IDH2	shrLDA	RNA	0.383	0.155	0.0
mut_IDH2	PLS	ADT	0.441	0.091	0.0
mut_IDH2	PLS	Cell-comm	0.495	0.135	0.0
mut_IDH2	PLS	Composition	0.57	0.115	0.31
mut_IDH2	PLS	GRN	0.537	0.072	0.218
mut_IDH2	PLS	LSC	0.625	0.142	0.472
mut_IDH2	PLS	Lipid	0.456	0.062	0.0
mut_IDH2	PLS	Metabolite	0.486	0.043	0.0
mut_IDH2	PLS	RNA	0.378	0.062	0.0
mut_IDH2	RF	ADT	0.427	0.133	0.0
mut_IDH2	RF	Cell-comm	0.569	0.075	0.138
mut_IDH2	RF	Composition	0.412	0.019	0.0
mut_IDH2	RF	GRN	0.6	0.215	0.094
mut_IDH2	RF	LSC	0.412	0.114	0.0
mut_IDH2	RF	Lipid	0.449	0.134	0.0
mut_IDH2	RF	Metabolite	0.448	0.014	0.0
mut_IDH2	RF	RNA	0.768	0.037	0.767
mut_IDH2	HistGB	ADT	0.496	0.066	0.0
mut_IDH2	HistGB	Cell-comm	0.463	0.066	0.0
mut_IDH2	HistGB	Composition	0.444	0.098	0.0
mut_IDH2	HistGB	GRN	0.637	0.124	0.433
mut_IDH2	HistGB	LSC	0.47	0.038	0.0
mut_IDH2	HistGB	Lipid	0.344	0.111	0.0
mut_IDH2	HistGB	Metabolite	0.516	0.106	0.057
mut_IDH2	HistGB	RNA	0.703	0.169	0.511
mut_IDH2	NaiveB	ADT	0.588	0.259	0.12
mut_IDH2	NaiveB	Cell-comm	0.488	0.049	0.0
mut_IDH2	NaiveB	Composition	0.479	0.157	0.0
mut_IDH2	NaiveB	GRN	0.616	0.195	0.201
mut_IDH2	NaiveB	LSC	0.561	0.168	0.117
mut_IDH2	NaiveB	Lipid	0.509	0.216	0.013
mut_IDH2	NaiveB	Metabolite	0.533	0.294	0.041
mut_IDH2	NaiveB	RNA	0.711	0.126	0.508
mut_IDH2	kNN	ADT	0.501	0.11	0.002
mut_IDH2	kNN	Cell-comm	0.5	0.0	0.0
mut_IDH2	kNN	Composition	0.414	0.197	0.0
mut_IDH2	kNN	GRN	0.658	0.206	0.295
mut_IDH2	kNN	LSC	0.415	0.143	0.0
mut_IDH2	kNN	Lipid	0.598	0.235	0.163
mut_IDH2	kNN	Metabolite	0.493	0.092	0.0
mut_IDH2	kNN	RNA	0.661	0.092	0.54
mut_IDH2	MLP	ADT	0.461	0.096	0.0
mut_IDH2	MLP	Cell-comm	0.551	0.029	0.151
mut_IDH2	MLP	Composition	0.665	0.141	0.206
mut_IDH2	MLP	GRN	0.615	0.115	0.166
mut_IDH2	MLP	LSC	0.374	0.158	0.0
mut_IDH2	MLP	Lipid	0.366	0.222	0.0
mut_IDH2	MLP	Metabolite	0.689	0.168	0.206
mut_IDH2	MLP	RNA	0.606	0.042	0.272
mut_NPM1	logL2	ADT	0.816	0.046	0.102
mut_NPM1	logL2	Cell-comm	0.847	0.034	0.128
mut_NPM1	logL2	Composition	0.712	0.026	0.086
mut_NPM1	logL2	GRN	0.88	0.024	0.158
mut_NPM1	logL2	LSC	0.481	0.045	0.0
mut_NPM1	logL2	Lipid	0.866	0.02	0.162
mut_NPM1	logL2	Metabolite	0.877	0.014	0.182
mut_NPM1	logL2	RNA	0.893	0.016	0.182
mut_NPM1	logL1	ADT	0.761	0.046	0.108
mut_NPM1	logL1	Cell-comm	0.774	0.068	0.093
mut_NPM1	logL1	Composition	0.691	0.065	0.067
mut_NPM1	logL1	GRN	0.864	0.019	0.211
mut_NPM1	logL1	LSC	0.469	0.022	0.0
mut_NPM1	logL1	Lipid	0.804	0.02	0.174
mut_NPM1	logL1	Metabolite	0.827	0.022	0.183
mut_NPM1	logL1	RNA	0.815	0.026	0.165
mut_NPM1	elastic	ADT	0.795	0.053	0.09
mut_NPM1	elastic	Cell-comm	0.837	0.051	0.105
mut_NPM1	elastic	Composition	0.718	0.047	0.071
mut_NPM1	elastic	GRN	0.871	0.002	0.224
mut_NPM1	elastic	LSC	0.463	0.028	0.0
mut_NPM1	elastic	Lipid	0.824	0.024	0.138
mut_NPM1	elastic	Metabolite	0.851	0.015	0.17
mut_NPM1	elastic	RNA	0.863	0.007	0.201
mut_NPM1	linSVM	ADT	0.825	0.045	0.125
mut_NPM1	linSVM	Cell-comm	0.572	0.073	0.021
mut_NPM1	linSVM	Composition	0.688	0.029	0.087
mut_NPM1	linSVM	GRN	0.803	0.025	0.147
mut_NPM1	linSVM	LSC	0.473	0.038	0.0
mut_NPM1	linSVM	Lipid	0.862	0.02	0.189
mut_NPM1	linSVM	Metabolite	0.864	0.01	0.221
mut_NPM1	linSVM	RNA	0.891	0.018	0.209
mut_NPM1	shrLDA	ADT	0.832	0.055	0.123
mut_NPM1	shrLDA	Cell-comm	0.67	0.039	0.074
mut_NPM1	shrLDA	Composition	0.689	0.032	0.09
mut_NPM1	shrLDA	GRN	0.833	0.023	0.176
mut_NPM1	shrLDA	LSC	0.478	0.035	0.0
mut_NPM1	shrLDA	Lipid	0.869	0.027	0.186
mut_NPM1	shrLDA	Metabolite	0.865	0.03	0.178
mut_NPM1	shrLDA	RNA	0.853	0.029	0.173
mut_NPM1	PLS	ADT	0.831	0.048	0.102
mut_NPM1	PLS	Cell-comm	0.785	0.011	0.139
mut_NPM1	PLS	Composition	0.689	0.022	0.078
mut_NPM1	PLS	GRN	0.898	0.015	0.184
mut_NPM1	PLS	LSC	0.461	0.04	0.0
mut_NPM1	PLS	Lipid	0.888	0.022	0.162
mut_NPM1	PLS	Metabolite	0.869	0.009	0.188
mut_NPM1	PLS	RNA	0.871	0.025	0.147
mut_NPM1	RF	ADT	0.787	0.025	0.132
mut_NPM1	RF	Cell-comm	0.871	0.052	0.125
mut_NPM1	RF	Composition	0.801	0.019	0.149
mut_NPM1	RF	GRN	0.864	0.035	0.148
mut_NPM1	RF	LSC	0.606	0.066	0.031
mut_NPM1	RF	Lipid	0.784	0.066	0.084
mut_NPM1	RF	Metabolite	0.831	0.024	0.154
mut_NPM1	RF	RNA	0.84	0.016	0.177
mut_NPM1	HistGB	ADT	0.789	0.049	0.11
mut_NPM1	HistGB	Cell-comm	0.835	0.038	0.143
mut_NPM1	HistGB	Composition	0.785	0.031	0.133
mut_NPM1	HistGB	GRN	0.873	0.032	0.171
mut_NPM1	HistGB	LSC	0.559	0.077	0.018
mut_NPM1	HistGB	Lipid	0.788	0.071	0.09
mut_NPM1	HistGB	Metabolite	0.857	0.03	0.169
mut_NPM1	HistGB	RNA	0.861	0.032	0.166
mut_NPM1	NaiveB	ADT	0.694	0.092	0.139
mut_NPM1	NaiveB	Cell-comm	0.614	0.067	0.098
mut_NPM1	NaiveB	Composition	0.692	0.052	0.189
mut_NPM1	NaiveB	GRN	0.676	0.075	0.143
mut_NPM1	NaiveB	LSC	0.564	0.065	0.056
mut_NPM1	NaiveB	Lipid	0.684	0.055	0.177
mut_NPM1	NaiveB	Metabolite	0.619	0.073	0.098
mut_NPM1	NaiveB	RNA	0.648	0.101	0.099
mut_NPM1	kNN	ADT	0.657	0.027	0.127
mut_NPM1	kNN	Cell-comm	0.604	0.075	0.051
mut_NPM1	kNN	Composition	0.655	0.039	0.107
mut_NPM1	kNN	GRN	0.763	0.018	0.237
mut_NPM1	kNN	LSC	0.528	0.048	0.018
mut_NPM1	kNN	Lipid	0.702	0.04	0.138
mut_NPM1	kNN	Metabolite	0.752	0.031	0.19
mut_NPM1	kNN	RNA	0.734	0.059	0.133
mut_NPM1	MLP	ADT	0.65	0.022	0.189
mut_NPM1	MLP	Cell-comm	0.625	0.083	0.085
mut_NPM1	MLP	Composition	0.567	0.03	0.076
mut_NPM1	MLP	GRN	0.673	0.101	0.104
mut_NPM1	MLP	LSC	0.497	0.041	0.0
mut_NPM1	MLP	Lipid	0.622	0.028	0.142
mut_NPM1	MLP	Metabolite	0.795	0.036	0.311
mut_NPM1	MLP	RNA	0.644	0.09	0.093
mut_NRAS	logL2	ADT	0.732	0.101	0.096
mut_NRAS	logL2	Cell-comm	0.801	0.043	0.202
mut_NRAS	logL2	Composition	0.71	0.116	0.079
mut_NRAS	logL2	GRN	0.812	0.124	0.112
mut_NRAS	logL2	LSC	0.496	0.066	0.0
mut_NRAS	logL2	Lipid	0.782	0.062	0.157
mut_NRAS	logL2	Metabolite	0.742	0.073	0.123
mut_NRAS	logL2	RNA	0.846	0.044	0.23
mut_NRAS	logL1	ADT	0.742	0.071	0.147
mut_NRAS	logL1	Cell-comm	0.595	0.05	0.07
mut_NRAS	logL1	Composition	0.701	0.062	0.132
mut_NRAS	logL1	GRN	0.801	0.132	0.121
mut_NRAS	logL1	LSC	0.499	0.052	0.0
mut_NRAS	logL1	Lipid	0.801	0.08	0.169
mut_NRAS	logL1	Metabolite	0.796	0.087	0.159
mut_NRAS	logL1	RNA	0.772	0.05	0.201
mut_NRAS	elastic	ADT	0.737	0.093	0.105
mut_NRAS	elastic	Cell-comm	0.771	0.064	0.15
mut_NRAS	elastic	Composition	0.685	0.126	0.066
mut_NRAS	elastic	GRN	0.831	0.121	0.122
mut_NRAS	elastic	LSC	0.503	0.071	0.002
mut_NRAS	elastic	Lipid	0.797	0.068	0.16
mut_NRAS	elastic	Metabolite	0.757	0.068	0.138
mut_NRAS	elastic	RNA	0.795	0.023	0.257
mut_NRAS	linSVM	ADT	0.743	0.101	0.104
mut_NRAS	linSVM	Cell-comm	0.72	0.032	0.174
mut_NRAS	linSVM	Composition	0.675	0.145	0.058
mut_NRAS	linSVM	GRN	0.768	0.095	0.12
mut_NRAS	linSVM	LSC	0.487	0.086	0.0
mut_NRAS	linSVM	Lipid	0.752	0.061	0.147
mut_NRAS	linSVM	Metabolite	0.743	0.059	0.145
mut_NRAS	linSVM	RNA	0.835	0.036	0.253
mut_NRAS	shrLDA	ADT	0.746	0.178	0.119
mut_NRAS	shrLDA	Cell-comm	0.497	0.004	0.0
mut_NRAS	shrLDA	Composition	0.699	0.097	0.149
mut_NRAS	shrLDA	GRN	0.794	0.127	0.183
