mutation	sample	truth	opt_score
mut_DNMT3A	WashU::10DD-1010__Diagnosis	0	0.455
mut_DNMT3A	WashU::10DD-1062__Treatment	0	0.367
mut_DNMT3A	WashU::220882__Diagnosis	1	0.624
mut_DNMT3A	WashU::452198__Diagnosis	1	0.701
mut_DNMT3A	WashU::875663__Diagnosis	1	0.839
mut_FLT3	CCHMC::1009_AfInv16_29M	0	0.446
mut_FLT3	CCHMC::1102_E_N1c	0	0.306
mut_FLT3	CCHMC::287_AfInv_P53F_N1c	0	0.793
mut_FLT3	CCHMC::3410_AfST8_P64M	1	0.189
mut_FLT3	CCHMC::568_AfInv16_P24M	0	0.233
mut_FLT3	Colorado::AML-04	1	0.895
mut_FLT3	Colorado::AML-07	0	0.451
mut_FLT3	Colorado::AML-14	0	0.576
mut_FLT3	Colorado::AML-17	1	0.871
mut_FLT3	Columbia::AML1	1	0.762
mut_FLT3	Columbia::AML10	0	0.395
mut_FLT3	Columbia::AML5	1	0.628
mut_FLT3	Milan::PT08__D14	0	0.477
mut_FLT3	Milan::PT13__Diagnosis	1	0.801
mut_FLT3	NYU-1::AML0024	1	0.29
mut_FLT3	NYU-1::AML0114	0	0.375
mut_FLT3	NYU-1::AML0310	0	0.478
mut_FLT3	NYU-1::AML0612	0	0.18
mut_FLT3	NYU-1::AML2910	1	0.23
mut_FLT3	WashU::10DD-1002__Treatment	0	0.183
mut_FLT3	WashU::10DD-1003__Diagnosis	0	0.332
mut_FLT3	WashU::10DD-1010__Diagnosis	0	0.679
mut_FLT3	WashU::10DD-1062__Treatment	0	0.23
mut_FLT3	WashU::220882__Diagnosis	0	0.626
mut_FLT3	WashU::452198__Diagnosis	1	0.883
mut_FLT3	WashU::875663__Diagnosis	1	0.69
mut_FLT3-ITD	CCHMC::1009_AfInv16_29M	0	0.305
mut_FLT3-ITD	CCHMC::1102_E_N1c	0	0.083
mut_FLT3-ITD	CCHMC::287_AfInv_P53F_N1c	0	0.787
mut_FLT3-ITD	CCHMC::3410_AfST8_P64M	0	0.418
mut_FLT3-ITD	CCHMC::568_AfInv16_P24M	0	0.383
mut_FLT3-ITD	Colorado::AML-04	1	0.792
mut_FLT3-ITD	Colorado::AML-07	0	0.435
mut_FLT3-ITD	Colorado::AML-14	0	0.612
mut_FLT3-ITD	Colorado::AML-17	1	0.782
mut_FLT3-ITD	Columbia::AML1	1	0.72
mut_FLT3-ITD	Columbia::AML10	0	0.481
mut_FLT3-ITD	Columbia::AML5	1	0.729
mut_FLT3-ITD	Milan::PT08__D14	0	0.572
mut_FLT3-ITD	Milan::PT13__Diagnosis	1	0.689
mut_FLT3-ITD	NYU-1::AML0024	0	0.332
mut_FLT3-ITD	NYU-1::AML0114	0	0.317
mut_FLT3-ITD	NYU-1::AML0310	0	0.549
mut_FLT3-ITD	NYU-1::AML0612	0	0.245
mut_FLT3-ITD	NYU-1::AML2910	1	0.449
mut_FLT3-ITD	WashU::10DD-1002__Treatment	0	0.337
mut_FLT3-ITD	WashU::10DD-1003__Diagnosis	0	0.42
mut_FLT3-ITD	WashU::10DD-1010__Diagnosis	0	0.51
mut_FLT3-ITD	WashU::10DD-1062__Treatment	0	0.374
mut_FLT3-ITD	WashU::220882__Diagnosis	0	0.55
mut_FLT3-ITD	WashU::452198__Diagnosis	1	0.825
mut_FLT3-ITD	WashU::875663__Diagnosis	0	0.306
mut_FLT3-TKD	CCHMC::1009_AfInv16_29M	0	0.365
mut_FLT3-TKD	CCHMC::1102_E_N1c	0	0.164
mut_FLT3-TKD	CCHMC::287_AfInv_P53F_N1c	0	0.841
mut_FLT3-TKD	CCHMC::3410_AfST8_P64M	0	0.334
mut_FLT3-TKD	CCHMC::568_AfInv16_P24M	0	0.3
mut_FLT3-TKD	Colorado::AML-04	1	0.705
mut_FLT3-TKD	Colorado::AML-07	0	0.461
mut_FLT3-TKD	Colorado::AML-14	0	0.578
mut_FLT3-TKD	Colorado::AML-17	0	0.902
mut_FLT3-TKD	Columbia::AML1	0	0.682
mut_FLT3-TKD	Columbia::AML10	0	0.434
mut_FLT3-TKD	Columbia::AML5	0	0.631
mut_FLT3-TKD	Milan::PT08__D14	0	0.074
mut_FLT3-TKD	Milan::PT13__Diagnosis	0	0.671
mut_FLT3-TKD	NYU-1::AML0024	1	0.806
mut_FLT3-TKD	NYU-1::AML0114	0	0.261
mut_FLT3-TKD	NYU-1::AML0310	0	0.782
mut_FLT3-TKD	NYU-1::AML0612	0	0.19
mut_FLT3-TKD	NYU-1::AML2910	0	0.288
mut_FLT3-TKD	WashU::10DD-1002__Treatment	0	0.209
mut_FLT3-TKD	WashU::10DD-1003__Diagnosis	0	0.287
mut_FLT3-TKD	WashU::10DD-1010__Diagnosis	0	0.5
mut_FLT3-TKD	WashU::10DD-1062__Treatment	0	0.089
mut_FLT3-TKD	WashU::220882__Diagnosis	0	0.567
mut_FLT3-TKD	WashU::452198__Diagnosis	1	0.912
mut_FLT3-TKD	WashU::875663__Diagnosis	1	0.968
mut_IDH1	CCHMC::1009_AfInv16_29M	0	0.52
mut_IDH1	CCHMC::1102_E_N1c	0	0.64
mut_IDH1	CCHMC::287_AfInv_P53F_N1c	0	0.6
mut_IDH1	CCHMC::3410_AfST8_P64M	0	0.92
mut_IDH1	CCHMC::568_AfInv16_P24M	0	0.44
mut_IDH1	Colorado::AML-04	0	0.68
mut_IDH1	Colorado::AML-07	0	0.08
mut_IDH1	Colorado::AML-14	0	0.36
mut_IDH1	Colorado::AML-17	0	0.56
mut_IDH1	Columbia::AML1	0	0.88
mut_IDH1	Columbia::AML10	0	0.48
mut_IDH1	Columbia::AML5	0	0.4
mut_IDH1	Milan::PT08__D14	0	0.0
mut_IDH1	Milan::PT13__Diagnosis	0	0.84
mut_IDH1	NYU-1::AML0024	1	0.8
mut_IDH1	NYU-1::AML0114	0	0.76
mut_IDH1	NYU-1::AML0310	0	1.0
mut_IDH1	NYU-1::AML0612	1	0.96
mut_IDH1	NYU-1::AML2910	0	0.16
mut_IDH1	WashU::10DD-1002__Treatment	0	0.04
mut_IDH1	WashU::10DD-1003__Diagnosis	0	0.32
mut_IDH1	WashU::10DD-1010__Diagnosis	0	0.2
mut_IDH1	WashU::10DD-1062__Treatment	0	0.12
mut_IDH1	WashU::220882__Diagnosis	0	0.24
mut_IDH1	WashU::452198__Diagnosis	1	0.72
mut_IDH1	WashU::875663__Diagnosis	0	0.28
mut_IDH2	CCHMC::1009_AfInv16_29M	0	0.04
mut_IDH2	CCHMC::1102_E_N1c	0	1.0
mut_IDH2	CCHMC::287_AfInv_P53F_N1c	0	0.88
mut_IDH2	CCHMC::3410_AfST8_P64M	0	0.2
